genome,MAG_ID,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
3300054964_35.fna,3300054964_35,41_1,0.050000000000000044,average,fastANI,41
3300054703_62.fna,3300054703_62,42_0,0.050000000000000044,average,fastANI,42
3300082211_14.fna,3300082211_14,43_0,0.050000000000000044,average,fastANI,43
3300066520_79.fna,3300066520_79,44_0,0.050000000000000044,average,fastANI,44
3300054985_53.fna,3300054985_53,45_0,0.050000000000000044,average,fastANI,45
3300060673_22.fna,3300060673_22,46_0,0.050000000000000044,average,fastANI,46
3300072776_63.fna,3300072776_63,47_0,0.050000000000000044,average,fastANI,47
3300036801_7.fna,3300036801_7,48_1,0.050000000000000044,average,fastANI,48
3300036806_13.fna,3300036806_13,48_1,0.050000000000000044,average,fastANI,48
3300080028_182.fna,3300080028_182,49_0,0.050000000000000044,average,fastANI,49
3300062708_15.fna,3300062708_15,50_0,0.050000000000000044,average,fastANI,50
3300073839_12.fna,3300073839_12,51_0,0.050000000000000044,average,fastANI,51
3300077288_63.fna,3300077288_63,52_0,0.050000000000000044,average,fastANI,52
3300076649_104.fna,3300076649_104,53_0,0.050000000000000044,average,fastANI,53
3300082212_61.fna,3300082212_61,54_0,0.050000000000000044,average,fastANI,54
3300061213_49.fna,3300061213_49,55_0,0.050000000000000044,average,fastANI,55
3300065474_32.fna,3300065474_32,56_0,0.050000000000000044,average,fastANI,56
3300052304_40.fna,3300052304_40,57_0,0.050000000000000044,average,fastANI,57
3300021404_13.fna,3300021404_13,58_0,0.050000000000000044,average,fastANI,58
3300044712_102.fna,3300044712_102,59_0,0.050000000000000044,average,fastANI,59
3300064746_54.fna,3300064746_54,60_0,0.050000000000000044,average,fastANI,60
3300065480_63.fna,3300065480_63,61_0,0.050000000000000044,average,fastANI,61
3300078359_101.fna,3300078359_101,62_1,0.050000000000000044,average,fastANI,62
3300081831_122.fna,3300081831_122,62_1,0.050000000000000044,average,fastANI,62
3300052894_12.fna,3300052894_12,63_0,0.050000000000000044,average,fastANI,63
3300037222_4.fna,3300037222_4,64_1,0.050000000000000044,average,fastANI,64
3300050020_34.fna,3300050020_34,64_1,0.050000000000000044,average,fastANI,64
3300078359_42.fna,3300078359_42,65_0,0.050000000000000044,average,fastANI,65
3300013097_7.fna,3300013097_7,66_0,0.050000000000000044,average,fastANI,66
3300055047_59.fna,3300055047_59,67_0,0.050000000000000044,average,fastANI,67
3300036846_12.fna,3300036846_12,68_1,0.050000000000000044,average,fastANI,68
3300042922_79.fna,3300042922_79,68_1,0.050000000000000044,average,fastANI,68
3300042923_111.fna,3300042923_111,68_1,0.050000000000000044,average,fastANI,68
3300018018_16.fna,3300018018_16,69_0,0.050000000000000044,average,fastANI,69
3300037076_10.fna,3300037076_10,70_0,0.050000000000000044,average,fastANI,70
3300044712_333.fna,3300044712_333,71_1,0.050000000000000044,average,fastANI,71
3300045051_136.fna,3300045051_136,71_1,0.050000000000000044,average,fastANI,71
3300054680_98.fna,3300054680_98,72_1,0.050000000000000044,average,fastANI,72
3300054988_36.fna,3300054988_36,72_1,0.050000000000000044,average,fastANI,72
3300042876_116.fna,3300042876_116,73_1,0.050000000000000044,average,fastANI,73
3300044712_264.fna,3300044712_264,73_1,0.050000000000000044,average,fastANI,73
3300044712_140.fna,3300044712_140,74_0,0.050000000000000044,average,fastANI,74
3300078539_49.fna,3300078539_49,75_0,0.050000000000000044,average,fastANI,75
3300072620_32.fna,3300072620_32,76_1,0.050000000000000044,average,fastANI,76
3300072653_73.fna,3300072653_73,76_1,0.050000000000000044,average,fastANI,76
3300072656_30.fna,3300072656_30,76_1,0.050000000000000044,average,fastANI,76
3300072687_75.fna,3300072687_75,76_1,0.050000000000000044,average,fastANI,76
3300072699_31.fna,3300072699_31,76_1,0.050000000000000044,average,fastANI,76
3300072953_8.fna,3300072953_8,76_1,0.050000000000000044,average,fastANI,76
3300082226_84.fna,3300082226_84,77_0,0.050000000000000044,average,fastANI,77
3300044802_18.fna,3300044802_18,78_0,0.050000000000000044,average,fastANI,78
3300081534_105.fna,3300081534_105,79_0,0.050000000000000044,average,fastANI,79
3300057049_150.fna,3300057049_150,80_0,0.050000000000000044,average,fastANI,80
3300036932_11.fna,3300036932_11,81_1,0.050000000000000044,average,fastANI,81
3300037227_9.fna,3300037227_9,81_1,0.050000000000000044,average,fastANI,81
3300063015_50.fna,3300063015_50,82_0,0.050000000000000044,average,fastANI,82
3300077581_9.fna,3300077581_9,83_0,0.050000000000000044,average,fastANI,83
3300017972_12.fna,3300017972_12,84_0,0.050000000000000044,average,fastANI,84
3300051196_26.fna,3300051196_26,85_0,0.050000000000000044,average,fastANI,85
3300014156_12.fna,3300014156_12,86_1,0.050000000000000044,average,fastANI,86
3300014158_13.fna,3300014158_13,86_1,0.050000000000000044,average,fastANI,86
3300014159_15.fna,3300014159_15,86_1,0.050000000000000044,average,fastANI,86
3300014162_12.fna,3300014162_12,86_1,0.050000000000000044,average,fastANI,86
3300014165_9.fna,3300014165_9,86_1,0.050000000000000044,average,fastANI,86
3300017925_13.fna,3300017925_13,86_1,0.050000000000000044,average,fastANI,86
3300017946_10.fna,3300017946_10,86_1,0.050000000000000044,average,fastANI,86
3300017996_13.fna,3300017996_13,86_1,0.050000000000000044,average,fastANI,86
3300018008_11.fna,3300018008_11,86_1,0.050000000000000044,average,fastANI,86
3300018014_12.fna,3300018014_12,86_1,0.050000000000000044,average,fastANI,86
3300018017_10.fna,3300018017_10,86_1,0.050000000000000044,average,fastANI,86
3300018022_13.fna,3300018022_13,86_1,0.050000000000000044,average,fastANI,86
3300018033_10.fna,3300018033_10,86_1,0.050000000000000044,average,fastANI,86
3300018035_13.fna,3300018035_13,86_1,0.050000000000000044,average,fastANI,86
3300018037_8.fna,3300018037_8,86_1,0.050000000000000044,average,fastANI,86
3300018043_11.fna,3300018043_11,86_1,0.050000000000000044,average,fastANI,86
3300018044_9.fna,3300018044_9,86_1,0.050000000000000044,average,fastANI,86
3300018046_11.fna,3300018046_11,86_1,0.050000000000000044,average,fastANI,86
3300018047_7.fna,3300018047_7,86_1,0.050000000000000044,average,fastANI,86
3300019082_16.fna,3300019082_16,86_1,0.050000000000000044,average,fastANI,86
3300036787_8.fna,3300036787_8,86_1,0.050000000000000044,average,fastANI,86
3300036880_13.fna,3300036880_13,86_1,0.050000000000000044,average,fastANI,86
3300036889_8.fna,3300036889_8,86_1,0.050000000000000044,average,fastANI,86
3300036906_9.fna,3300036906_9,86_1,0.050000000000000044,average,fastANI,86
3300036907_5.fna,3300036907_5,86_1,0.050000000000000044,average,fastANI,86
3300036908_9.fna,3300036908_9,86_1,0.050000000000000044,average,fastANI,86
3300037060_10.fna,3300037060_10,86_1,0.050000000000000044,average,fastANI,86
3300037084_9.fna,3300037084_9,86_1,0.050000000000000044,average,fastANI,86
3300037101_6.fna,3300037101_6,86_1,0.050000000000000044,average,fastANI,86
3300037102_11.fna,3300037102_11,86_1,0.050000000000000044,average,fastANI,86
3300037103_10.fna,3300037103_10,86_1,0.050000000000000044,average,fastANI,86
3300037161_7.fna,3300037161_7,86_1,0.050000000000000044,average,fastANI,86
3300037171_10.fna,3300037171_10,86_1,0.050000000000000044,average,fastANI,86
3300037175_7.fna,3300037175_7,86_1,0.050000000000000044,average,fastANI,86
3300037176_12.fna,3300037176_12,86_1,0.050000000000000044,average,fastANI,86
3300037207_11.fna,3300037207_11,86_1,0.050000000000000044,average,fastANI,86
3300037208_6.fna,3300037208_6,86_1,0.050000000000000044,average,fastANI,86
3300037236_4.fna,3300037236_4,86_1,0.050000000000000044,average,fastANI,86
3300038619_17.fna,3300038619_17,86_1,0.050000000000000044,average,fastANI,86
3300038648_15.fna,3300038648_15,86_1,0.050000000000000044,average,fastANI,86
3300039309_14.fna,3300039309_14,86_1,0.050000000000000044,average,fastANI,86
3300039310_17.fna,3300039310_17,86_1,0.050000000000000044,average,fastANI,86
3300039326_15.fna,3300039326_15,86_1,0.050000000000000044,average,fastANI,86
3300048791_25.fna,3300048791_25,86_1,0.050000000000000044,average,fastANI,86
3300050027_48.fna,3300050027_48,86_1,0.050000000000000044,average,fastANI,86
3300050028_41.fna,3300050028_41,86_1,0.050000000000000044,average,fastANI,86
3300036912_8.fna,3300036912_8,87_1,0.050000000000000044,average,fastANI,87
3300036913_14.fna,3300036913_14,87_1,0.050000000000000044,average,fastANI,87
3300036914_5.fna,3300036914_5,87_1,0.050000000000000044,average,fastANI,87
3300036929_10.fna,3300036929_10,87_1,0.050000000000000044,average,fastANI,87
3300036931_14.fna,3300036931_14,87_1,0.050000000000000044,average,fastANI,87
3300037049_11.fna,3300037049_11,87_1,0.050000000000000044,average,fastANI,87
3300037061_9.fna,3300037061_9,87_1,0.050000000000000044,average,fastANI,87
3300037062_13.fna,3300037062_13,87_1,0.050000000000000044,average,fastANI,87
3300037065_11.fna,3300037065_11,87_1,0.050000000000000044,average,fastANI,87
3300037106_12.fna,3300037106_12,87_1,0.050000000000000044,average,fastANI,87
3300037162_8.fna,3300037162_8,87_1,0.050000000000000044,average,fastANI,87
3300037163_8.fna,3300037163_8,87_1,0.050000000000000044,average,fastANI,87
3300037167_8.fna,3300037167_8,87_1,0.050000000000000044,average,fastANI,87
3300037209_8.fna,3300037209_8,87_1,0.050000000000000044,average,fastANI,87
3300037210_11.fna,3300037210_11,87_1,0.050000000000000044,average,fastANI,87
3300037214_10.fna,3300037214_10,87_1,0.050000000000000044,average,fastANI,87
3300037215_6.fna,3300037215_6,87_1,0.050000000000000044,average,fastANI,87
3300037216_11.fna,3300037216_11,87_1,0.050000000000000044,average,fastANI,87
3300048760_11.fna,3300048760_11,87_1,0.050000000000000044,average,fastANI,87
3300049721_17.fna,3300049721_17,87_1,0.050000000000000044,average,fastANI,87
3300050009_30.fna,3300050009_30,87_1,0.050000000000000044,average,fastANI,87
3300036885_20.fna,3300036885_20,87_2,0.050000000000000044,average,fastANI,87
3300044796_94.fna,3300044796_94,87_2,0.050000000000000044,average,fastANI,87
3300044904_8.fna,3300044904_8,87_2,0.050000000000000044,average,fastANI,87
3300048762_8.fna,3300048762_8,87_2,0.050000000000000044,average,fastANI,87
3300048778_36.fna,3300048778_36,87_2,0.050000000000000044,average,fastANI,87
3300050020_75.fna,3300050020_75,87_2,0.050000000000000044,average,fastANI,87
3300050021_48.fna,3300050021_48,87_2,0.050000000000000044,average,fastANI,87
3300050026_44.fna,3300050026_44,87_2,0.050000000000000044,average,fastANI,87
3300050123_21.fna,3300050123_21,87_2,0.050000000000000044,average,fastANI,87
3300050124_38.fna,3300050124_38,87_2,0.050000000000000044,average,fastANI,87
3300050132_22.fna,3300050132_22,87_2,0.050000000000000044,average,fastANI,87
3300050133_17.fna,3300050133_17,87_2,0.050000000000000044,average,fastANI,87
3300050139_54.fna,3300050139_54,87_2,0.050000000000000044,average,fastANI,87
3300050140_32.fna,3300050140_32,87_2,0.050000000000000044,average,fastANI,87
3300050141_30.fna,3300050141_30,87_2,0.050000000000000044,average,fastANI,87
3300050190_16.fna,3300050190_16,87_2,0.050000000000000044,average,fastANI,87
3300052918_40.fna,3300052918_40,87_2,0.050000000000000044,average,fastANI,87
3300033755_18.fna,3300033755_18,87_3,0.050000000000000044,average,fastANI,87
3300017975_12.fna,3300017975_12,88_0,0.050000000000000044,average,fastANI,88
3300018062_12.fna,3300018062_12,89_0,0.050000000000000044,average,fastANI,89
3300055488_3.fna,3300055488_3,90_1,0.050000000000000044,average,fastANI,90
3300056673_268.fna,3300056673_268,90_1,0.050000000000000044,average,fastANI,90
3300056675_170.fna,3300056675_170,90_1,0.050000000000000044,average,fastANI,90
3300056699_12.fna,3300056699_12,90_1,0.050000000000000044,average,fastANI,90
3300056809_79.fna,3300056809_79,90_1,0.050000000000000044,average,fastANI,90
3300056977_342.fna,3300056977_342,90_1,0.050000000000000044,average,fastANI,90
3300063172_279.fna,3300063172_279,90_1,0.050000000000000044,average,fastANI,90
3300036884_20.fna,3300036884_20,91_1,0.050000000000000044,average,fastANI,91
3300037087_20.fna,3300037087_20,91_1,0.050000000000000044,average,fastANI,91
3300050124_35.fna,3300050124_35,91_1,0.050000000000000044,average,fastANI,91
3300055488_16.fna,3300055488_16,91_1,0.050000000000000044,average,fastANI,91
3300056673_50.fna,3300056673_50,91_1,0.050000000000000044,average,fastANI,91
3300056699_23.fna,3300056699_23,91_1,0.050000000000000044,average,fastANI,91
3300056751_149.fna,3300056751_149,91_1,0.050000000000000044,average,fastANI,91
3300056797_172.fna,3300056797_172,91_1,0.050000000000000044,average,fastANI,91
3300056977_175.fna,3300056977_175,91_1,0.050000000000000044,average,fastANI,91
3300063172_299.fna,3300063172_299,91_1,0.050000000000000044,average,fastANI,91
3300075322_77.fna,3300075322_77,91_1,0.050000000000000044,average,fastANI,91
3300075646_11.fna,3300075646_11,91_1,0.050000000000000044,average,fastANI,91
3300038426_14.fna,3300038426_14,92_0,0.050000000000000044,average,fastANI,92
3300056899_84.fna,3300056899_84,93_1,0.050000000000000044,average,fastANI,93
3300057050_138.fna,3300057050_138,93_1,0.050000000000000044,average,fastANI,93
3300017961_13.fna,3300017961_13,94_0,0.050000000000000044,average,fastANI,94
3300057045_1.fna,3300057045_1,95_1,0.050000000000000044,average,fastANI,95
3300059599_21.fna,3300059599_21,95_1,0.050000000000000044,average,fastANI,95
3300028800_45.fna,3300028800_45,96_1,0.050000000000000044,average,fastANI,96
3300031240_22.fna,3300031240_22,96_1,0.050000000000000044,average,fastANI,96
3300045051_95.fna,3300045051_95,97_0,0.050000000000000044,average,fastANI,97
3300031753_7.fna,3300031753_7,98_0,0.050000000000000044,average,fastANI,98
3300080032_157.fna,3300080032_157,99_0,0.050000000000000044,average,fastANI,99
3300082211_96.fna,3300082211_96,100_0,0.050000000000000044,average,fastANI,100
3300082281_165.fna,3300082281_165,101_0,0.050000000000000044,average,fastANI,101
3300033755_22.fna,3300033755_22,102_1,0.050000000000000044,average,fastANI,102
3300033982_16.fna,3300033982_16,102_1,0.050000000000000044,average,fastANI,102
3300017938_21.fna,3300017938_21,103_1,0.050000000000000044,average,fastANI,103
3300017940_18.fna,3300017940_18,103_1,0.050000000000000044,average,fastANI,103
3300017941_22.fna,3300017941_22,103_1,0.050000000000000044,average,fastANI,103
3300017998_26.fna,3300017998_26,103_1,0.050000000000000044,average,fastANI,103
3300018005_26.fna,3300018005_26,103_1,0.050000000000000044,average,fastANI,103
3300018013_21.fna,3300018013_21,103_1,0.050000000000000044,average,fastANI,103
3300018015_24.fna,3300018015_24,103_1,0.050000000000000044,average,fastANI,103
3300018019_19.fna,3300018019_19,103_1,0.050000000000000044,average,fastANI,103
3300018021_23.fna,3300018021_23,103_1,0.050000000000000044,average,fastANI,103
3300018025_20.fna,3300018025_20,103_1,0.050000000000000044,average,fastANI,103
3300018057_24.fna,3300018057_24,103_1,0.050000000000000044,average,fastANI,103
3300037993_25.fna,3300037993_25,103_1,0.050000000000000044,average,fastANI,103
3300038415_29.fna,3300038415_29,103_1,0.050000000000000044,average,fastANI,103
3300038416_25.fna,3300038416_25,103_1,0.050000000000000044,average,fastANI,103
3300038417_31.fna,3300038417_31,103_1,0.050000000000000044,average,fastANI,103
3300038424_29.fna,3300038424_29,103_1,0.050000000000000044,average,fastANI,103
3300038426_18.fna,3300038426_18,103_1,0.050000000000000044,average,fastANI,103
3300038427_30.fna,3300038427_30,103_1,0.050000000000000044,average,fastANI,103
3300038429_24.fna,3300038429_24,103_1,0.050000000000000044,average,fastANI,103
3300038450_23.fna,3300038450_23,103_1,0.050000000000000044,average,fastANI,103
3300082281_5.fna,3300082281_5,104_0,0.050000000000000044,average,fastANI,104
3300054680_28.fna,3300054680_28,105_0,0.050000000000000044,average,fastANI,105
3300082281_55.fna,3300082281_55,106_0,0.050000000000000044,average,fastANI,106
3300051196_5.fna,3300051196_5,107_0,0.050000000000000044,average,fastANI,107
3300049571_95.fna,3300049571_95,108_0,0.050000000000000044,average,fastANI,108
3300056811_163.fna,3300056811_163,109_0,0.050000000000000044,average,fastANI,109
3300056883_98.fna,3300056883_98,110_1,0.050000000000000044,average,fastANI,110
3300057032_13.fna,3300057032_13,110_1,0.050000000000000044,average,fastANI,110
3300057034_131.fna,3300057034_131,110_1,0.050000000000000044,average,fastANI,110
3300057044_23.fna,3300057044_23,110_1,0.050000000000000044,average,fastANI,110
3300082211_41.fna,3300082211_41,111_0,0.050000000000000044,average,fastANI,111
3300056899_110.fna,3300056899_110,112_1,0.050000000000000044,average,fastANI,112
3300060291_198.fna,3300060291_198,112_1,0.050000000000000044,average,fastANI,112
3300045996_339.fna,3300045996_339,113_0,0.050000000000000044,average,fastANI,113
3300049259_1.fna,3300049259_1,114_0,0.050000000000000044,average,fastANI,114
3300056887_145.fna,3300056887_145,115_1,0.050000000000000044,average,fastANI,115
3300060291_162.fna,3300060291_162,115_1,0.050000000000000044,average,fastANI,115
3300044799_46.fna,3300044799_46,116_1,0.050000000000000044,average,fastANI,116
3300044800_10.fna,3300044800_10,116_1,0.050000000000000044,average,fastANI,116
3300044800_47.fna,3300044800_47,117_0,0.050000000000000044,average,fastANI,117
3300056902_1.fna,3300056902_1,118_1,0.050000000000000044,average,fastANI,118
3300057014_126.fna,3300057014_126,118_1,0.050000000000000044,average,fastANI,118
3300057024_127.fna,3300057024_127,118_1,0.050000000000000044,average,fastANI,118
3300056905_11.fna,3300056905_11,119_0,0.050000000000000044,average,fastANI,119
3300056901_117.fna,3300056901_117,120_1,0.050000000000000044,average,fastANI,120
3300057025_99.fna,3300057025_99,120_1,0.050000000000000044,average,fastANI,120
3300060291_196.fna,3300060291_196,120_1,0.050000000000000044,average,fastANI,120
3300056887_62.fna,3300056887_62,121_0,0.050000000000000044,average,fastANI,121
3300018088_18.fna,3300018088_18,122_1,0.050000000000000044,average,fastANI,122
3300018090_18.fna,3300018090_18,122_1,0.050000000000000044,average,fastANI,122
3300046481_6.fna,3300046481_6,123_0,0.050000000000000044,average,fastANI,123
3300017988_24.fna,3300017988_24,124_0,0.050000000000000044,average,fastANI,124
3300057029_92.fna,3300057029_92,125_0,0.050000000000000044,average,fastANI,125
3300054984_92.fna,3300054984_92,126_0,0.050000000000000044,average,fastANI,126
3300056899_14.fna,3300056899_14,127_0,0.050000000000000044,average,fastANI,127
3300056902_76.fna,3300056902_76,128_1,0.050000000000000044,average,fastANI,128
3300056905_132.fna,3300056905_132,128_1,0.050000000000000044,average,fastANI,128
3300056973_85.fna,3300056973_85,128_1,0.050000000000000044,average,fastANI,128
3300057014_91.fna,3300057014_91,128_1,0.050000000000000044,average,fastANI,128
3300057024_141.fna,3300057024_141,128_1,0.050000000000000044,average,fastANI,128
3300057048_3.fna,3300057048_3,128_1,0.050000000000000044,average,fastANI,128
3300031539_42.fna,3300031539_42,129_1,0.050000000000000044,average,fastANI,129
3300031565_45.fna,3300031565_45,129_1,0.050000000000000044,average,fastANI,129
3300031566_46.fna,3300031566_46,129_1,0.050000000000000044,average,fastANI,129
3300031578_30.fna,3300031578_30,129_1,0.050000000000000044,average,fastANI,129
3300031673_29.fna,3300031673_29,129_1,0.050000000000000044,average,fastANI,129
3300014490_12.fna,3300014490_12,130_1,0.050000000000000044,average,fastANI,130
3300038424_14.fna,3300038424_14,130_1,0.050000000000000044,average,fastANI,130
3300037104_19.fna,3300037104_19,131_0,0.050000000000000044,average,fastANI,131
3300057029_7.fna,3300057029_7,132_1,0.050000000000000044,average,fastANI,132
3300057034_146.fna,3300057034_146,132_1,0.050000000000000044,average,fastANI,132
3300031565_61.fna,3300031565_61,133_0,0.050000000000000044,average,fastANI,133
3300056885_104.fna,3300056885_104,134_1,0.050000000000000044,average,fastANI,134
3300056904_84.fna,3300056904_84,134_1,0.050000000000000044,average,fastANI,134
3300056973_76.fna,3300056973_76,135_1,0.050000000000000044,average,fastANI,135
3300057035_38.fna,3300057035_38,135_1,0.050000000000000044,average,fastANI,135
3300056887_44.fna,3300056887_44,136_0,0.050000000000000044,average,fastANI,136
3300056905_127.fna,3300056905_127,137_0,0.050000000000000044,average,fastANI,137
3300056899_66.fna,3300056899_66,138_1,0.050000000000000044,average,fastANI,138
3300057050_144.fna,3300057050_144,138_1,0.050000000000000044,average,fastANI,138
3300060291_217.fna,3300060291_217,138_1,0.050000000000000044,average,fastANI,138
3300056901_153.fna,3300056901_153,139_0,0.050000000000000044,average,fastANI,139
3300056899_12.fna,3300056899_12,140_0,0.050000000000000044,average,fastANI,140
3300057017_53.fna,3300057017_53,141_1,0.050000000000000044,average,fastANI,141
3300057057_4.fna,3300057057_4,141_1,0.050000000000000044,average,fastANI,141
3300054984_58.fna,3300054984_58,142_0,0.050000000000000044,average,fastANI,142
3300057017_79.fna,3300057017_79,143_1,0.050000000000000044,average,fastANI,143
3300057057_53.fna,3300057057_53,143_1,0.050000000000000044,average,fastANI,143
3300018019_17.fna,3300018019_17,144_1,0.050000000000000044,average,fastANI,144
3300037843_25.fna,3300037843_25,144_1,0.050000000000000044,average,fastANI,144
3300036885_13.fna,3300036885_13,145_0,0.050000000000000044,average,fastANI,145
3300049718_33.fna,3300049718_33,146_0,0.050000000000000044,average,fastANI,146
3300038619_18.fna,3300038619_18,147_0,0.050000000000000044,average,fastANI,147
3300050014_5.fna,3300050014_5,148_0,0.050000000000000044,average,fastANI,148
3300032805_20.fna,3300032805_20,149_0,0.050000000000000044,average,fastANI,149
3300037104_21.fna,3300037104_21,150_0,0.050000000000000044,average,fastANI,150
3300044712_168.fna,3300044712_168,151_0,0.050000000000000044,average,fastANI,151
3300017938_18.fna,3300017938_18,152_1,0.050000000000000044,average,fastANI,152
3300038415_26.fna,3300038415_26,152_1,0.050000000000000044,average,fastANI,152
3300038427_21.fna,3300038427_21,152_1,0.050000000000000044,average,fastANI,152
3300036886_19.fna,3300036886_19,153_1,0.050000000000000044,average,fastANI,153
3300037089_14.fna,3300037089_14,153_2,0.050000000000000044,average,fastANI,153
3300082287_23.fna,3300082287_23,154_0,0.050000000000000044,average,fastANI,154
3300017938_25.fna,3300017938_25,155_1,0.050000000000000044,average,fastANI,155
3300038427_29.fna,3300038427_29,155_1,0.050000000000000044,average,fastANI,155
3300044798_50.fna,3300044798_50,156_1,0.050000000000000044,average,fastANI,156
3300044799_50.fna,3300044799_50,156_1,0.050000000000000044,average,fastANI,156
3300038429_25.fna,3300038429_25,157_1,0.050000000000000044,average,fastANI,157
3300052918_29.fna,3300052918_29,157_2,0.050000000000000044,average,fastANI,157
3300014839_38.fna,3300014839_38,158_1,0.050000000000000044,average,fastANI,158
3300037356_8.fna,3300037356_8,158_1,0.050000000000000044,average,fastANI,158
3300037106_11.fna,3300037106_11,158_2,0.050000000000000044,average,fastANI,158
3300037062_11.fna,3300037062_11,159_1,0.050000000000000044,average,fastANI,159
3300048768_12.fna,3300048768_12,159_1,0.050000000000000044,average,fastANI,159
3300048769_37.fna,3300048769_37,159_1,0.050000000000000044,average,fastANI,159
