# BUSCO version is: 6.0.0 
# The lineage dataset is: drosophila_odb12 (Creation date: 2025-07-01, number of genomes: 32, number of BUSCOs: 9348)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
225at7215	Complete	X	3668043	3668701	+	321.3	151	https://www.orthodb.org/?query=225at7215	Insulin-like peptide 7
245at7215	Complete	X	10207575	10207233	-	274.9	114	https://www.orthodb.org/?query=245at7215	protein yippee-like
277at7215	Complete	2L	7828051	7831803	+	756.6	309	https://www.orthodb.org/?query=277at7215	serine/threonine-protein phosphatase PP2A
289at7215	Complete	X	22454192	22453232	-	687.3	280	https://www.orthodb.org/?query=289at7215	Large ribosomal subunit protein uL18, C-terminal, eukaryotes
298at7215	Complete	2L	10208796	10207313	-	950.8	410	https://www.orthodb.org/?query=298at7215	alpha-N-acetylgalactosaminidase
300at7215	Complete	X	8905378	8905066	-	242.6	104	https://www.orthodb.org/?query=300at7215	Zinc finger, RING-type
302at7215	Complete	3R	14740669	14733497	-	310.8	147	https://www.orthodb.org/?query=302at7215	ubiquitin-conjugating enzyme E2-17 kDa
307at7215	Complete	3L	9679898	9680807	+	691.3	297	https://www.orthodb.org/?query=307at7215	UPF0046 protein C25E10.12
309at7215	Complete	2L	14417318	14416837	-	327.3	141	https://www.orthodb.org/?query=309at7215	Xylanase inhibitor, C-terminal
312at7215	Complete	2R	10814076	10815107	+	485.2	203	https://www.orthodb.org/?query=312at7215	PPPDE peptidase domain
321at7215	Complete	3R	13051296	13049449	-	1118.1	483	https://www.orthodb.org/?query=321at7215	methanethiol oxidase
326at7215	Complete	3R	29223339	29222403	-	289.9	133	https://www.orthodb.org/?query=326at7215	CDGSH iron-sulfur domain-containing protein 2 homolog
336at7215	Complete	2R	17767724	17767269	-	258.1	130	https://www.orthodb.org/?query=336at7215	uncharacterized protein LOC108596236
339at7215	Complete	2R	14854959	14853954	-	750.9	331	https://www.orthodb.org/?query=339at7215	probable cytosolic iron-sulfur protein assembly protein Ciao1
354at7215	Complete	3R	8773443	8773767	+	169.2	84	https://www.orthodb.org/?query=354at7215	uncharacterized protein LOC108085413
358at7215	Complete	3L	21539987	21540392	+	200.1	89	https://www.orthodb.org/?query=358at7215	V-type proton ATPase subunit e
370at7215	Complete	3L	11715195	11712605	-	243.5	117	https://www.orthodb.org/?query=370at7215	uncharacterized protein LOC6544369 isoform X1
373at7215	Complete	3R	9015264	9015009	-	209.5	85	https://www.orthodb.org/?query=373at7215	splicing factor 3b subunit 5
381at7215	Complete	3L	5366156	5363877	-	337.5	144	https://www.orthodb.org/?query=381at7215	ubiquitin-conjugating enzyme E2 variant 2
391at7215	Complete	3R	10680777	10677889	-	665.1	283	https://www.orthodb.org/?query=391at7215	phytanoyl-CoA dioxygenase domain-containing protein 1
402at7215	Complete	2L	10423519	10425269	+	973.3	408	https://www.orthodb.org/?query=402at7215	WD repeat and FYVE domain containing 2, isoform A
407at7215	Complete	2R	16007567	16006956	-	389.5	164	https://www.orthodb.org/?query=407at7215	Ubiquitin-fold modifier conjugating enzyme 1
409at7215	Complete	2L	5328633	5328077	-	224.9	101	https://www.orthodb.org/?query=409at7215	acylphosphatase-2
410at7215	Complete	2L	21382203	21390152	+	725.2	310	https://www.orthodb.org/?query=410at7215	sodium/potassium-transporting ATPase subunit beta-2
414at7215	Complete	2R	21659932	21658845	-	826.1	346	https://www.orthodb.org/?query=414at7215	mRNA export factor
416at7215	Complete	2L	3466334	3467251	+	372.0	158	https://www.orthodb.org/?query=416at7215	NADH dehydrogenase 
423at7215	Complete	2R	7395866	7393671	-	397.0	176	https://www.orthodb.org/?query=423at7215	lactoylglutathione lyase
428at7215	Complete	X	20422936	20421867	-	745.6	307	https://www.orthodb.org/?query=428at7215	serine/threonine-protein phosphatase 4 catalytic subunit
433at7215	Complete	2L	155571	155947	+	229.6	101	https://www.orthodb.org/?query=433at7215	NADH dehydrogenase 
455at7215	Complete	3R	24717617	24717901	+	171.1	67	https://www.orthodb.org/?query=455at7215	DNA-directed RNA polymerases I, II, and III subunit RPABC5
463at7215	Complete	2L	4403336	4403861	+	341.8	142	https://www.orthodb.org/?query=463at7215	thioredoxin-like protein 4A
467at7215	Complete	3R	24719281	24718032	-	877.6	374	https://www.orthodb.org/?query=467at7215	methionine aminopeptidase 1
479at7215	Complete	2R	19636541	19637295	+	203.0	91	https://www.orthodb.org/?query=479at7215	uncharacterized protein LOC108595744
486at7215	Complete	2L	542247	541770	-	380.3	159	https://www.orthodb.org/?query=486at7215	SUMO-conjugating enzyme UBC9
499at7215	Complete	2R	6675690	6675075	-	434.3	183	https://www.orthodb.org/?query=499at7215	peptidyl-prolyl cis-trans isomerase H
502at7215	Complete	3R	25246673	25246355	-	189.0	81	https://www.orthodb.org/?query=502at7215	Small ribosomal subunit protein eS27
505at7215	Complete	3L	3167978	3168437	+	284.9	129	https://www.orthodb.org/?query=505at7215	LITAF domain-containing protein
518at7215	Complete	X	20239977	20242138	+	535.5	237	https://www.orthodb.org/?query=518at7215	protein obstructor-E
537at7215	Complete	3L	12186039	12187278	+	669.8	286	https://www.orthodb.org/?query=537at7215	inositol oxygenase
538at7215	Complete	3L	606500	605198	-	573.3	259	https://www.orthodb.org/?query=538at7215	rhythmically expressed gene 2
540at7215	Complete	2R	13171519	13174648	+	1616.7	685	https://www.orthodb.org/?query=540at7215	1,4-Alpha-Glucan branching enzyme
575at7215	Complete	3R	6343069	6343683	+	385.1	186	https://www.orthodb.org/?query=575at7215	Phosphatidylethanolamine-binding protein
577at7215	Complete	2L	2263557	2264181	+	363.6	168	https://www.orthodb.org/?query=577at7215	Golgi-associated plant pathogenesis-related protein 1
583at7215	Complete	3R	4988689	4986667	-	440.8	193	https://www.orthodb.org/?query=583at7215	Immunoglobulin
596at7215	Complete	2R	11290932	11289900	-	711.3	323	https://www.orthodb.org/?query=596at7215	UPF0605 protein GA14893
608at7215	Complete	2R	6810437	6810094	-	182.7	73	https://www.orthodb.org/?query=608at7215	ubiquitin like
611at7215	Complete	3L	1724092	1716302	-	2228.4	1043	https://www.orthodb.org/?query=611at7215	protein draper
614at7215	Complete	2R	15145440	15145070	-	150.6	56	https://www.orthodb.org/?query=614at7215	DNA-directed RNA polymerases I, II, and III subunit RPABC4
617at7215	Complete	2R	8625525	8626099	+	377.1	173	https://www.orthodb.org/?query=617at7215	vacuolar protein-sorting-associated protein 25
618at7215	Complete	X	7835026	7840353	+	754.4	305	https://www.orthodb.org/?query=618at7215	carbonic anhydrase-related protein 10
621at7215	Complete	2R	14157416	14157107	-	186.1	79	https://www.orthodb.org/?query=621at7215	cytochrome c oxidase assembly factor 5
642at7215	Complete	X	14266237	14265570	-	356.7	154	https://www.orthodb.org/?query=642at7215	plasminogen receptor (KT)
649at7215	Complete	3R	22357628	22359950	+	455.1	193	https://www.orthodb.org/?query=649at7215	Small GTPase superfamily, ARF/SAR type
678at7215	Complete	3L	4283478	4283070	-	254.0	131	https://www.orthodb.org/?query=678at7215	protein twisted gastrulation
692at7215	Complete	2L	8199042	8200278	+	833.5	366	https://www.orthodb.org/?query=692at7215	metallophosphoesterase 1 homolog
695at7215	Complete	3L	21729192	21729639	+	351.6	149	https://www.orthodb.org/?query=695at7215	Protein kinase domain
720at7215	Complete	X	8687267	8688174	+	593.7	250	https://www.orthodb.org/?query=720at7215	carbonic anhydrase 2
739at7215	Complete	3L	12001117	11998873	-	666.9	294	https://www.orthodb.org/?query=739at7215	CCR4-NOT transcription complex subunit 7
743at7215	Complete	2L	2579954	2579358	-	320.1	141	https://www.orthodb.org/?query=743at7215	NADH dehydrogenase 
750at7215	Complete	2L	156240	157538	+	807.5	347	https://www.orthodb.org/?query=750at7215	U5 small nuclear ribonucleoprotein 40 kDa protein
767at7215	Complete	3R	16186777	16186161	-	339.8	145	https://www.orthodb.org/?query=767at7215	Sin3 associated polypeptide p18
784at7215	Complete	X	6071897	6069964	-	662.6	283	https://www.orthodb.org/?query=784at7215	tetraspanin-9
796at7215	Complete	3R	19687184	19698180	+	850.1	357	https://www.orthodb.org/?query=796at7215	EF-hand domain
800at7215	Complete	3L	5565624	5565861	+	188.7	79	https://www.orthodb.org/?query=800at7215	bladder cancer-associated protein
802at7215	Complete	2L	4353048	4353810	+	469.6	213	https://www.orthodb.org/?query=802at7215	cytochrome b5 domain-containing protein 1
806at7215	Complete	3L	652764	652090	-	292.6	123	https://www.orthodb.org/?query=806at7215	Tax1-binding protein 3
808at7215	Complete	3R	15225943	15227343	+	1033.1	423	https://www.orthodb.org/?query=808at7215	chromatin assembly factor 1 p55 subunit
814at7215	Complete	X	11062842	11062162	-	303.0	133	https://www.orthodb.org/?query=814at7215	uncharacterized protein LOC108021834
825at7215	Complete	2L	16738995	16742222	+	1254.2	545	https://www.orthodb.org/?query=825at7215	chitin deacetylase 1
830at7215	Complete	3R	22365813	22364670	-	661.6	291	https://www.orthodb.org/?query=830at7215	Zinc finger protein-like 1
832at7215	Complete	2L	10488958	10489705	+	500.7	227	https://www.orthodb.org/?query=832at7215	alpha-ketoglutarate-dependent dioxygenase alkB homolog 6
845at7215	Complete	3L	358030	358396	+	250.8	120	https://www.orthodb.org/?query=845at7215	RING-box protein 1B
848at7215	Complete	2L	20885454	20873751	-	1408.1	599	https://www.orthodb.org/?query=848at7215	TBC1 domain family member 24 isoform X1
856at7215	Complete	3R	5474323	5472878	-	1047.2	437	https://www.orthodb.org/?query=856at7215	Histone deacetylase
864at7215	Complete	2R	19446139	19445240	-	266.5	114	https://www.orthodb.org/?query=864at7215	elongin-C
865at7215	Complete	3R	18299421	18299754	+	262.5	111	https://www.orthodb.org/?query=865at7215	Dynein heavy chain AAA lid domain
877at7215	Complete	3R	23889763	23861381	-	1033.0	424	https://www.orthodb.org/?query=877at7215	protein pellino
879at7215	Complete	2R	23547610	23545066	-	774.7	328	https://www.orthodb.org/?query=879at7215	serine-threonine kinase receptor-associated protein
894at7215	Complete	2L	9890852	9891259	+	213.1	97	https://www.orthodb.org/?query=894at7215	cysteine-rich PDZ-binding protein
901at7215	Complete	X	7982401	7985524	+	1233.2	512	https://www.orthodb.org/?query=901at7215	protein singed
904at7215	Complete	3L	10663445	10664362	+	398.2	182	https://www.orthodb.org/?query=904at7215	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
918at7215	Complete	3L	9727423	9728842	+	635.7	273	https://www.orthodb.org/?query=918at7215	N-alpha-acetyltransferase 60 isoform X1
919at7215	Complete	3R	9768805	9769423	+	405.2	174	https://www.orthodb.org/?query=919at7215	N-alpha-acetyltransferase 80
928at7215	Complete	3L	23339434	23341516	+	196.8	83	https://www.orthodb.org/?query=928at7215	cytochrome c oxidase subunit NDUFA4
929at7215	Complete	2L	8374526	8375477	+	765.6	317	https://www.orthodb.org/?query=929at7215	WD repeat-containing protein 82
944at7215	Complete	3L	1334465	1333419	-	709.8	325	https://www.orthodb.org/?query=944at7215	uncharacterized protein LOC4812057
951at7215	Complete	X	15861743	15862793	+	822.1	340	https://www.orthodb.org/?query=951at7215	guanine nucleotide-binding protein subunit beta-1
960at7215	Complete	2R	5121798	5117665	-	799.6	345	https://www.orthodb.org/?query=960at7215	protein gustavus
964at7215	Complete	2R	13501893	13496980	-	503.6	211	https://www.orthodb.org/?query=964at7215	growth factor receptor-bound protein 2
966at7215	Complete	3R	29675308	29674277	-	763.9	326	https://www.orthodb.org/?query=966at7215	mitotic checkpoint protein BUB3
975at7215	Complete	2L	16790632	16788933	-	1002.7	435	https://www.orthodb.org/?query=975at7215	cytochrome b5-related protein
987at7215	Complete	2L	18953560	18952341	-	757.0	329	https://www.orthodb.org/?query=987at7215	homocysteine S-methyltransferase
992at7215	Complete	2L	4945275	4944303	-	570.5	247	https://www.orthodb.org/?query=992at7215	Large ribosomal subunit protein uL24
993at7215	Complete	2R	21128693	21129192	+	348.6	147	https://www.orthodb.org/?query=993at7215	mago nashi
999at7215	Complete	3L	18826319	18827895	+	1154.5	485	https://www.orthodb.org/?query=999at7215	catalase
1006at7215	Complete	3L	21217063	21218941	+	1067.1	448	https://www.orthodb.org/?query=1006at7215	integrin-linked protein kinase
1023at7215	Complete	2R	16746483	16745758	-	519.5	222	https://www.orthodb.org/?query=1023at7215	uncharacterized protein LOC6601595
1042at7215	Complete	2L	860085	861693	+	741.3	316	https://www.orthodb.org/?query=1042at7215	uncharacterized protein LOC108037647 isoform X1
1048at7215	Complete	2R	23130117	23128666	-	785.5	358	https://www.orthodb.org/?query=1048at7215	glycerol-3-phosphate dehydrogenase 
1050at7215	Complete	3R	26403656	26401911	-	808.0	456	https://www.orthodb.org/?query=1050at7215	acid-sensing ion channel 1A
1051at7215	Complete	3R	31812210	31810628	-	870.6	382	https://www.orthodb.org/?query=1051at7215	ferrochelatase, mitochondrial
1075at7215	Complete	2R	24944422	24943665	-	396.6	197	https://www.orthodb.org/?query=1075at7215	wnt inhibitory factor 1
1081at7215	Complete	3R	17435894	17446119	+	1821.8	747	https://www.orthodb.org/?query=1081at7215	peroxidase
1092at7215	Complete	3R	6100752	6093553	-	583.5	255	https://www.orthodb.org/?query=1092at7215	protein obstructor-E
1095at7215	Complete	3R	5655205	5656202	+	675.5	293	https://www.orthodb.org/?query=1095at7215	mediator of RNA polymerase II transcription subunit 27
1117at7215	Complete	2L	10386177	10384844	-	659.2	295	https://www.orthodb.org/?query=1117at7215	Cyclin-dependent kinase 1
1128at7215	Complete	2L	16722049	16722373	+	250.5	108	https://www.orthodb.org/?query=1128at7215	Cytochrome c-like domain
1148at7215	Complete	3R	22034081	22032228	-	1358.6	570	https://www.orthodb.org/?query=1148at7215	Zinc finger, RING-type
1152at7215	Complete	3L	649179	651102	+	831.6	350	https://www.orthodb.org/?query=1152at7215	UDP-glucose 4-epimerase
1159at7215	Complete	2L	5986494	5988180	+	767.7	321	https://www.orthodb.org/?query=1159at7215	sphingolipid delta(4)-desaturase DES1-like isoform X1
1165at7215	Complete	2R	21350435	21349057	-	561.1	254	https://www.orthodb.org/?query=1165at7215	venom allergen 3
1167at7215	Complete	2L	568064	566428	-	1135.9	487	https://www.orthodb.org/?query=1167at7215	notchless
1170at7215	Complete	3L	19994624	19995802	+	446.2	186	https://www.orthodb.org/?query=1170at7215	neuronal calcium sensor 2
1177at7215	Complete	2R	23395156	23389523	-	1833.5	761	https://www.orthodb.org/?query=1177at7215	myotubularin-related protein 6 isoform X1
1183at7215	Complete	2L	8029607	8029959	+	182.9	79	https://www.orthodb.org/?query=1183at7215	barrier-to-autointegration factor
1192at7215	Complete	X	16594000	16594806	+	386.3	166	https://www.orthodb.org/?query=1192at7215	ubiquitin-conjugating enzyme E2 G2
1205at7215	Complete	3L	11625984	11624728	-	714.6	317	https://www.orthodb.org/?query=1205at7215	aldo-keto reductase family 1 member B1
1209at7215	Complete	3R	21777766	21777291	-	264.4	120	https://www.orthodb.org/?query=1209at7215	DNA-directed RNA polymerase I subunit RPA12
1215at7215	Complete	2L	5078988	5073885	-	1511.4	631	https://www.orthodb.org/?query=1215at7215	polypeptide N-acetylgalactosaminyltransferase 5
1223at7215	Complete	3L	11707411	11700699	-	825.1	354	https://www.orthodb.org/?query=1223at7215	F-box only protein 25
1235at7215	Complete	X	6774951	6771618	-	984.2	458	https://www.orthodb.org/?query=1235at7215	protein shifted isoform X1
1237at7215	Complete	2L	10265519	10266502	+	513.0	220	https://www.orthodb.org/?query=1237at7215	MOB kinase activator-like 3
1243at7215	Complete	2L	6999856	6973479	-	8666.6	3583	https://www.orthodb.org/?query=1243at7215	uncharacterized protein, isoform A
1250at7215	Complete	3L	1865756	1867489	+	387.7	167	https://www.orthodb.org/?query=1250at7215	transmembrane protein 134
1255at7215	Complete	3R	8653120	8653738	+	323.4	142	https://www.orthodb.org/?query=1255at7215	protein SYS1 homolog
1256at7215	Complete	3R	22526872	22520319	-	924.3	403	https://www.orthodb.org/?query=1256at7215	1-aminocyclopropane-1-carboxylate oxidase-like
1258at7215	Complete	2L	21088730	21086902	-	1029.3	458	https://www.orthodb.org/?query=1258at7215	sodium channel protein Nach
1270at7215	Complete	2R	24561060	24559103	-	709.3	319	https://www.orthodb.org/?query=1270at7215	inorganic pyrophosphatase
1283at7215	Complete	2R	12569726	12569078	-	352.0	162	https://www.orthodb.org/?query=1283at7215	adenylate kinase 6
1315at7215	Complete	3L	20028952	20027969	-	387.2	180	https://www.orthodb.org/?query=1315at7215	Large ribosomal subunit protein uL5
1321at7215	Complete	2R	6696399	6695596	-	540.8	225	https://www.orthodb.org/?query=1321at7215	MOB kinase activator-like 4
1327at7215	Complete	2R	10049560	10049866	+	163.9	66	https://www.orthodb.org/?query=1327at7215	cytochrome c oxidase subunit 7C, mitochondrial
1336at7215	Complete	3R	9458817	9457998	-	535.0	225	https://www.orthodb.org/?query=1336at7215	probable maleylacetoacetate isomerase 2
1338at7215	Complete	2R	19290164	19290733	+	235.9	107	https://www.orthodb.org/?query=1338at7215	Peptidyl-prolyl cis-trans isomerase domain superfamily
1347at7215	Complete	X	7323672	7315134	-	623.3	269	https://www.orthodb.org/?query=1347at7215	autophagy protein 5
1351at7215	Complete	3L	4170651	4173386	+	1101.6	481	https://www.orthodb.org/?query=1351at7215	ero1-like protein
1352at7215	Complete	2R	14161462	14162723	+	904.3	401	https://www.orthodb.org/?query=1352at7215	LOW QUALITY PROTEIN: GDP-fucose protein O-fucosyltransferase 1
1363at7215	Complete	2R	23925388	23926783	+	762.4	339	https://www.orthodb.org/?query=1363at7215	WD repeat-containing protein 47
1376at7215	Complete	3R	20307507	20306315	-	490.1	230	https://www.orthodb.org/?query=1376at7215	uncharacterized protein LOC122757041 isoform X1
1378at7215	Complete	3R	29744999	29742249	-	1752.8	763	https://www.orthodb.org/?query=1378at7215	GATOR complex protein WDR24
1384at7215	Complete	3L	9599072	9600209	+	679.1	376	https://www.orthodb.org/?query=1384at7215	uncharacterized protein LOC6602512
1394at7215	Complete	3L	21304920	21305969	+	711.5	329	https://www.orthodb.org/?query=1394at7215	probable serine hydrolase
1397at7215	Complete	3R	29197633	29199154	+	368.9	167	https://www.orthodb.org/?query=1397at7215	Reeler domain
1418at7215	Complete	2L	20075025	20073918	-	378.8	166	https://www.orthodb.org/?query=1418at7215	6-pyruvoyl tetrahydrobiopterin synthase
1421at7215	Complete	3R	4468524	4466693	-	744.5	337	https://www.orthodb.org/?query=1421at7215	elongation of very long chain fatty acids protein
1423at7215	Complete	3L	21539354	21539074	-	165.9	68	https://www.orthodb.org/?query=1423at7215	Cytochrome c oxidase, subunit 8
1439at7215	Complete	3L	5780110	5780998	+	388.4	172	https://www.orthodb.org/?query=1439at7215	transmembrane protein 11 homolog, mitochondrial
1453at7215	Complete	3R	15350920	15350396	-	352.4	152	https://www.orthodb.org/?query=1453at7215	trafficking protein particle complex subunit 6b
1456at7215	Complete	X	4676375	4667995	-	872.5	360	https://www.orthodb.org/?query=1456at7215	fizzy-related, isoform A
1458at7215	Complete	2L	1081243	1082868	+	885.3	395	https://www.orthodb.org/?query=1458at7215	cysteine protease ATG4B
1472at7215	Complete	3L	12137015	12137472	+	227.3	107	https://www.orthodb.org/?query=1472at7215	Calponin homology domain
1473at7215	Complete	2R	10473409	10469768	-	1854.2	781	https://www.orthodb.org/?query=1473at7215	carnitine O-palmitoyltransferase 1, liver isoform isoform X1
1478at7215	Complete	3L	16588851	16589771	+	532.7	222	https://www.orthodb.org/?query=1478at7215	Zinc finger, RING-type
1494at7215	Complete	2R	8174656	8225412	+	10551.7	4691	https://www.orthodb.org/?query=1494at7215	low-density lipoprotein receptor-related protein 1
1496at7215	Complete	3L	16131582	16131108	-	316.3	139	https://www.orthodb.org/?query=1496at7215	TRAPP subunit 20
1502at7215	Complete	3L	12741860	12744929	+	1088.3	491	https://www.orthodb.org/?query=1502at7215	protein ABHD18
1508at7215	Complete	3L	7936474	7936770	+	184.8	77	https://www.orthodb.org/?query=1508at7215	signal recognition particle 9
1511at7215	Complete	X	5301347	5306191	+	753.7	322	https://www.orthodb.org/?query=1511at7215	uncharacterized protein LOC4815610 isoform X1
1512at7215	Complete	X	2585207	2584294	-	519.5	238	https://www.orthodb.org/?query=1512at7215	protein GUCD1
1515at7215	Complete	3R	15223095	15222402	-	403.4	173	https://www.orthodb.org/?query=1515at7215	RNA polymerase Rpb7-like , N-terminal
1519at7215	Complete	2R	12140950	12142837	+	1274.9	573	https://www.orthodb.org/?query=1519at7215	SET and MYND domain-containing protein 4
1522at7215	Complete	X	3880988	3882466	+	840.7	350	https://www.orthodb.org/?query=1522at7215	V-type ATP synthase subunit c/d subunit superfamily
1545at7215	Complete	2R	16197327	16197513	+	149.5	60	https://www.orthodb.org/?query=1545at7215	uncharacterized protein LOC117891600
1574at7215	Complete	2L	820078	820966	+	640.1	281	https://www.orthodb.org/?query=1574at7215	Zinc finger, CCCH-type
1581at7215	Complete	2L	10249204	10247650	-	893.7	369	https://www.orthodb.org/?query=1581at7215	stress-activated protein kinase JNK
1597at7215	Complete	X	6350347	6349698	-	349.7	153	https://www.orthodb.org/?query=1597at7215	NADH dehydrogenase 
1606at7215	Complete	X	18791897	18792551	+	516.9	218	https://www.orthodb.org/?query=1606at7215	Autophagy-related 101
1610at7215	Complete	2R	9044620	9042399	-	1590.7	682	https://www.orthodb.org/?query=1610at7215	Tyrosinase copper-binding domain
1629at7215	Complete	X	13386932	13386346	-	281.1	121	https://www.orthodb.org/?query=1629at7215	protein yippee
1636at7215	Complete	3L	1774791	1772604	-	1580.5	668	https://www.orthodb.org/?query=1636at7215	Dynein heavy chain
1647at7215	Complete	3R	12628343	12629449	+	389.6	166	https://www.orthodb.org/?query=1647at7215	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
1648at7215	Complete	X	15737033	15735839	-	899.9	398	https://www.orthodb.org/?query=1648at7215	actin-related protein 6
1654at7215	Complete	3R	10224965	10225375	+	254.4	114	https://www.orthodb.org/?query=1654at7215	Piercer of microtubule wall 1/2
1655at7215	Complete	3L	16113561	16103483	-	1556.6	652	https://www.orthodb.org/?query=1655at7215	integrator complex subunit 9
1665at7215	Complete	2L	421366	420943	-	268.5	138	https://www.orthodb.org/?query=1665at7215	uncharacterized protein LOC111599091
1669at7215	Complete	2R	16288140	16287648	-	304.8	163	https://www.orthodb.org/?query=1669at7215	uncharacterized protein LOC122613926
1677at7215	Duplicated	X	13336377	13335987	-	304.2	130	https://www.orthodb.org/?query=1677at7215	Small ribosomal subunit protein uS8
1677at7215	Duplicated	2R	10821812	10822202	+	299.6	130	https://www.orthodb.org/?query=1677at7215	Small ribosomal subunit protein uS8
1681at7215	Complete	2L	10225750	10224762	-	553.6	240	https://www.orthodb.org/?query=1681at7215	LIM domain transcription factor LMO4
1688at7215	Complete	2R	1516620	1515784	-	515.2	225	https://www.orthodb.org/?query=1688at7215	repressor of RNA polymerase III transcription MAF1 homolog
1703at7215	Complete	3L	11109475	11108866	-	318.6	156	https://www.orthodb.org/?query=1703at7215	uncharacterized protein LOC110178960
1726at7215	Complete	2R	20289678	20290429	+	430.3	203	https://www.orthodb.org/?query=1726at7215	casein kinase II subunit beta'
1730at7215	Complete	2R	24174367	24173838	-	356.4	155	https://www.orthodb.org/?query=1730at7215	28S ribosomal protein S17, mitochondrial
1741at7215	Complete	2R	15323483	15324341	+	413.6	175	https://www.orthodb.org/?query=1741at7215	ADP-ribosylation factor 6
1742at7215	Complete	X	19622965	19621608	-	416.1	178	https://www.orthodb.org/?query=1742at7215	N-alpha-acetyltransferase 20 isoform X1
1755at7215	Complete	3R	4390425	4391704	+	892.3	398	https://www.orthodb.org/?query=1755at7215	E3 ubiquitin-protein ligase TM129
1758at7215	Complete	2R	18617758	18616946	-	527.5	236	https://www.orthodb.org/?query=1758at7215	cysteine dioxygenase type 1
1768at7215	Complete	2R	21313404	21319399	+	3686.2	1625	https://www.orthodb.org/?query=1768at7215	glycogen debranching enzyme
1781at7215	Complete	3L	690081	688587	-	986.1	438	https://www.orthodb.org/?query=1781at7215	retinoid-inducible serine carboxypeptidase
