"MAG_ID","IMG.Genome.ID","Bin.Completeness","Bin.Contamination","Average.Coverage","Genome_size_Mbp","Ecosystem","Latitude","Longitude","Source","GTDB.Taxonomy.Lineage"
"3300014162_17",3300014162,81.78,0,17.38,0.914256,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Micrarchaeota; Micrarchaeia; Micrarchaeales; Micrarchaeaceae; UBA12276"
"3300014164_7",3300014164,82.71,7.18,9.7,3.54427,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae"
"3300014164_9",3300014164,97.44,1.28,9.73,2.065218,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014165_9",3300014165,85.72,1.96,9.26,1.40521,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Halobacterota; Methanosarcinia; UBA590; UBA590; UBA590; GCA_002509385.1"
"3300014165_6",3300014165,94.32,7.27,8.68,4.190636,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Nitrospirota; Thermodesulfovibrionia; Thermodesulfovibrionales"
"3300014167_9",3300014167,84.25,0.68,22.74,2.984273,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Tous-C4FEB"
"3300014167_7",3300014167,84.47,7.99,11.98,4.145022,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; RAAP-2"
"3300014167_13",3300014167,79.06,1.52,7.38,1.434959,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; RAAP-2; RAAP-2"
"3300014167_3",3300014167,76.54,3.47,6.61,6.751943,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Planctomycetota; Planctomycetes; Planctomycetales; Planctomycetaceae; Schlesneria"
"3300014168_13",3300014168,90.7,2.14,13.26,1.746174,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; RAAP-2; RAAP-2"
"3300014168_10",3300014168,98.9,0,28.6,3.461506,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Fibrobacterota; Fibrobacteria; UBA5070; UBA5070; UBA5070"
"3300014199_10",3300014199,97.83,0.88,23.14,4.864097,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Acidobacteriota; Holophagae; Holophagales; Holophagaceae; Holophaga"
"3300014199_15",3300014199,78.95,0,6.27,2.011885,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Fibrobacterota; Fibrobacteria; UBA5070; UBA5070; UBA5070"
"3300014199_29",3300014199,75.03,0,97.8,0.771895,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Patescibacteria; Paceibacteria; UBA9983; Taylorbacteraceae"
"3300014199_9",3300014199,83.8,8.81,10.68,4.688682,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae"
"3300014199_13",3300014199,93.26,2.81,9.18,2.704199,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Goldbacteria-1; Goldbacteria-1; Goldbacteria-1; Goldbacteria-1"
"3300014200_6",3300014200,76.05,0.67,10.23,1.648878,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; UBP12; UBA5184; UBA5184; UBA5184"
"3300014200_10",3300014200,71.05,0.06,7.22,1.158554,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Omnitrophota; koll11; UBA10015; GCA-002753745"
"3300014201_9",3300014201,86.32,4.71,7.86,2.780426,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; UBP12; UBA5184; UBA5184; UBA5184"
"3300014490_7",3300014490,89.34,5.02,21.99,4.044807,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Nitrospirota; Thermodesulfovibrionia; Thermodesulfovibrionales"
"3300014490_8",3300014490,98.29,8.97,24.71,3.809034,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA8190"
"3300014490_12",3300014490,74.06,4.9,10.6,1.645473,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Archaea; Halobacterota; Methanosarcinia; Methanotrichales; Methanotrichaceae"
"3300014491_11",3300014491,74.52,0.46,8.95,3.909376,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; UBP12; UBA5184; UBA5184; UBA5184"
"3300014491_13",3300014491,70.65,3.37,22.99,2.777119,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Desulfobacterota; Syntrophia; Syntrophales; Smithellaceae"
"3300014491_12",3300014491,80.79,1.32,7.61,3.685963,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Acidobacteriota; Holophagae; Holophagales; Holophagaceae; Holophaga"
"3300014491_14",3300014491,95.15,0,11.65,2.219941,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Archaea; Crenarchaeota; Nitrososphaeria"
"3300014492_18",3300014492,75.28,0.1,8.87,1.401279,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Dependentiae; Babeliae; Babeliales; Babeliaceae"
"3300014492_10",3300014492,82.89,2.85,13.78,6.764342,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Actinobacteriota; Actinobacteria; Streptosporangiales; Streptosporangiaceae; UBA9676"
"3300014492_11",3300014492,93.46,2.12,12.29,5.863154,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; LD1"
"3300014493_13",3300014493,75.5,1.04,8.84,1.769592,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae"
"3300014494_16",3300014494,80.3,5.45,9.19,2.203032,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Desulfobacterota_B; Syntrophorhabdia; Syntrophorhabdales; Syntrophorhabdaceae"
"3300014494_31",3300014494,73.19,0,10.98,0.722093,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Patescibacteria; Paceibacteria; UBA9983; Taylorbacteraceae; C7867-002"
"3300014496_18",3300014496,73.61,4.76,8.64,2.274402,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Desulfobacterota_B; Syntrophorhabdia; Syntrophorhabdales; Syntrophorhabdaceae"
"3300014496_19",3300014496,74.15,0.99,7.04,2.209697,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Chloroflexota; Dehalococcoidia; GIF9; UBA5629; UBA1162"
"3300014496_20",3300014496,72.67,4.87,6.82,2.093999,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Elusimicrobiota; Elusimicrobia; F11"
"3300014498_9",3300014498,80.19,2.75,12.35,3.150771,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylomonadaceae; KS41"
"3300014498_10",3300014498,79.83,2.14,7.52,2.660331,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Acidobacteriota; Thermoanaerobaculia; UBA2201; UBA2201; UBA2201"
"3300014501_21",3300014501,90,2.25,8.85,1.997724,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Verrucomicrobiota; Chlamydiia; Parachlamydiales; Ga0074140"
"3300014501_19",3300014501,71.74,0,8.53,2.26526,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; UBA5359"
"3300014501_17",3300014501,92.08,3.24,8.96,2.606407,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Archaea; Crenarchaeota; Nitrososphaeria"
"3300014502_34",3300014502,84.09,7.43,9.8,2.054645,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Archaea; Thermoplasmatota; Thermoplasmata_A; Methanomassiliicoccales; UBA472"
"3300014502_27",3300014502,81.74,4.66,17.08,2.632123,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; Melioribacteraceae"
"3300014502_30",3300014502,91.04,2.15,20.25,2.530948,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Omnitrophota; koll11; 4484-171; 4484-171"
"3300014502_16",3300014502,84.09,6.57,9.27,6.445086,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Chloroflexota; Anaerolineae; Thermoflexales"
"3300014502_24",3300014502,70.01,9.72,13.7,2.884559,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylomonadaceae; KS41"
"3300014502_29",3300014502,72.6,4.91,9.7,2.460872,"Environmental; Terrestrial; Soil; Wetlands; Permafrost",68.35,19.05,"Soil","Bacteria; Desulfobacterota_B; Syntrophorhabdia; Syntrophorhabdales; WCHB1-27"
"3300014638_12",3300014638,91.45,1.28,12.32,1.894024,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014638_10",3300014638,94.19,2.9,20.7,4.051821,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Desulfobacterota; BSN033; BSN033; UBA1163; UBA1163; GCA_002311635.1"
"3300014638_7",3300014638,97.77,3.96,19.05,5.973826,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Actinobacteria; Streptosporangiales; Streptosporangiaceae; UBA8262; UBA8262"
"3300014654_13",3300014654,80.19,8.07,7.14,2.250719,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Proteobacteria; Gammaproteobacteria; UBA5158; UBA5158; 2-12-FULL-45-12"
"3300014655_21",3300014655,70.53,0,15.86,0.698861,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Patescibacteria; Paceibacteria; UBA9983; Taylorbacteraceae"
"3300014655_7",3300014655,98.85,1.15,18.18,4.897856,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Spirochaetota; Spirochaetia; Treponematales; UBA8932; UBA1306"
"3300014655_8",3300014655,97.6,3.27,11.98,4.015105,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Spirochaetota; Spirochaetia; Spirochaetales"
"3300014655_16",3300014655,82.63,2.25,8.45,2.159327,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Goldbacteria-1; Goldbacteria-1"
"3300014655_9",3300014655,98.9,0,32.66,3.460214,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Fibrobacterota; Fibrobacteria; UBA5070; UBA5070; UBA5070"
"3300014655_10",3300014655,93.84,2.05,69.12,3.261319,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Tous-C4FEB"
"3300014655_17",3300014655,82.17,0.8,9.09,1.682648,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Proteobacteria; Alphaproteobacteria; Micavibrionales"
