"genome","completeness","contamination"
"3300014839_21.fna",97.63,2.87
"3300014861_1.fna",90.27,9.13
"3300014881_2.fna",82.75,5.35
"3300015254_1.fna",71.46,0.9
"3300015256_2.fna",82.94,0
"3300017656_6.fna",86.89,4.26
"3300017789_11.fna",80.72,8.75
"3300017925_6.fna",87.03,3.28
"3300017925_8.fna",89.68,2.9
"3300017925_10.fna",93.69,2.91
"3300017925_13.fna",82.3,2.66
"3300017925_12.fna",96.13,1.29
"3300017929_17.fna",92.82,2.56
"3300017929_26.fna",96.26,0
"3300017929_15.fna",84.87,5.88
"3300017929_20.fna",96.7,0.99
"3300017929_13.fna",94.19,0
"3300017931_13.fna",89.67,2.56
"3300017931_16.fna",96.7,0.99
"3300017931_18.fna",92.4,0.8
"3300017931_12.fna",90.97,10
"3300017935_10.fna",98.28,8.35
"3300017935_14.fna",82.56,0.91
"3300017938_12.fna",90.97,4.68
"3300017938_23.fna",94.72,0
"3300017938_31.fna",72.77,0
"3300017938_25.fna",97.7,0.66
"3300017938_21.fna",96.76,3.88
"3300017938_18.fna",98.24,0.65
"3300017938_15.fna",89.55,0.64
"3300017938_17.fna",93.68,3.42
"3300017938_20.fna",96.7,0.99
"3300017940_12.fna",89.6,9.45
"3300017940_15.fna",79.99,0.36
"3300017940_18.fna",85.6,4.03
"3300017940_19.fna",88.8,3.2
"3300017940_17.fna",95.71,0.99
"3300017940_14.fna",90.76,4.69
"3300017941_21.fna",92.4,3.2
"3300017941_14.fna",93.68,2.62
"3300017941_12.fna",87.41,8.03
"3300017941_22.fna",95.31,1.94
"3300017941_28.fna",72.77,0
"3300017946_10.fna",90.69,0.98
"3300017946_9.fna",73.08,2.3
"3300017946_7.fna",96.45,0
"3300017946_5.fna",90.87,5.82
"3300017947_8.fna",75.85,1.96
"3300017948_9.fna",72.21,5.63
"3300017959_11.fna",80.91,7.91
"3300017961_13.fna",91.73,1.69
"3300017972_8.fna",72.41,3.45
"3300017972_12.fna",77.17,5.31
"3300017974_15.fna",73.39,9.94
"3300017975_12.fna",78.34,1.47
"3300017988_17.fna",92.13,2.25
"3300017988_48.fna",75.03,0
"3300017988_19.fna",87.57,8.58
"3300017988_24.fna",92.81,1.06
"3300017988_12.fna",95.72,5.48
"3300017988_23.fna",92.74,1.98
"3300017988_25.fna",82.26,2.25
"3300017988_26.fna",89.3,0.44
"3300017996_11.fna",95.48,1.34
"3300017996_13.fna",78.79,0.7
"3300017998_26.fna",97.25,2.91
"3300017998_33.fna",74.43,0
"3300017998_22.fna",85.49,0
"3300017998_25.fna",98,1.6
"3300017998_18.fna",92.24,2.59
"3300017998_16.fna",78.67,3.55
"3300017998_30.fna",72.77,0
"3300017998_12.fna",81.23,5.98
"3300017998_19.fna",71.67,5.13
"3300018002_14.fna",84.4,4.8
"3300018002_8.fna",79.24,6.47
"3300018002_12.fna",79.25,8.87
"3300018003_6.fna",94.84,4.19
"3300018003_5.fna",94.55,8.91
"3300018004_20.fna",84.11,1.4
"3300018004_19.fna",96.7,0.99
"3300018004_15.fna",93.68,3.42
"3300018004_16.fna",71.4,0
"3300018004_18.fna",87.72,3.23
"3300018005_23.fna",99.67,0.65
"3300018005_25.fna",98,1.6
"3300018005_26.fna",97.25,4.37
"3300018005_16.fna",86.13,4.44
"3300018005_37.fna",73.76,0
"3300018005_21.fna",94.52,5.94
"3300018005_9.fna",94.5,2.75
"3300018005_18.fna",94.86,0.93
"3300018008_13.fna",80.86,4.07
"3300018008_14.fna",86.8,0.8
"3300018008_11.fna",90.69,1.31
"3300018008_7.fna",95.48,2.9
"3300018008_10.fna",87.62,1.18
"3300018009_7.fna",95.48,6.45
"3300018009_9.fna",85.73,2.96
"3300018009_13.fna",73.6,0.8
"3300018009_12.fna",82.27,1.16
"3300018013_16.fna",89.79,1.33
"3300018013_21.fna",92.39,2.91
"3300018013_22.fna",72.41,0
"3300018013_19.fna",96.7,0
"3300018013_17.fna",96.28,1.14
"3300018013_14.fna",70.79,3.64
"3300018014_9.fna",88.06,1.63
"3300018014_10.fna",95.19,3.48
"3300018014_13.fna",70.69,0
"3300018014_12.fna",85.57,0
"3300018015_24.fna",98.22,6.8
"3300018015_28.fna",71.78,0
"3300018015_17.fna",84.48,3.45
"3300018015_23.fna",85.2,0.8
"3300018015_21.fna",99.67,0.87
"3300018015_14.fna",74.69,4.88
"3300018015_8.fna",91.51,7.29
"3300018015_9.fna",79.25,5.56
"3300018015_16.fna",92.82,2.56
"3300018015_25.fna",74.3,0.99
"3300018015_34.fna",80.46,0
"3300018016_11.fna",96.13,0.81
"3300018016_9.fna",87.74,4.84
"3300018017_5.fna",98.02,5.67
"3300018017_8.fna",96.77,3.87
"3300018017_6.fna",86.05,3.48
"3300018017_10.fna",87.09,1.96
"3300018018_17.fna",81.03,1.71
"3300018018_29.fna",94.44,0.65
"3300018018_23.fna",93.92,7.77
"3300018018_14.fna",90.84,3.28
"3300018018_16.fna",72.73,3.01
"3300018018_15.fna",89.68,2.47
"3300018018_20.fna",93.5,3.69
"3300018018_22.fna",93.97,0.86
"3300018019_13.fna",94.52,0.65
"3300018019_18.fna",89.94,0.8
"3300018019_11.fna",94.28,0
"3300018019_19.fna",82.69,2.91
"3300018019_16.fna",96.7,0.99
"3300018019_17.fna",79.34,0
"3300018020_20.fna",96.7,3.63
"3300018020_7.fna",95.48,9.37
"3300018020_33.fna",80.46,0
"3300018020_18.fna",92.82,3.42
"3300018020_24.fna",86.8,0.8
"3300018021_21.fna",85.64,0
"3300018021_23.fna",88.03,1.94
"3300018021_19.fna",91.11,2.56
"3300018021_13.fna",89.83,5.38
"3300018021_27.fna",71.78,0
"3300018022_12.fna",96.13,0.68
"3300018022_10.fna",79.03,3.89
"3300018022_13.fna",88.18,0.65
"3300018022_9.fna",92.9,3.55
"3300018023_9.fna",87.25,2.99
"3300018023_13.fna",86.83,1.29
"3300018023_10.fna",70.35,8.02
"3300018023_18.fna",96.2,0.99
"3300018023_14.fna",89.92,9.66
"3300018024_17.fna",86.5,1.68
"3300018024_22.fna",96.7,0.99
"3300018024_21.fna",98.6,3.74
"3300018024_20.fna",98.86,1.14
"3300018024_26.fna",90.65,1.4
"3300018024_19.fna",93.68,3.42
"3300018024_11.fna",89.19,7.99
"3300018025_13.fna",92.82,3.42
"3300018025_10.fna",92.86,6.72
"3300018025_20.fna",91.91,2.91
"3300018025_19.fna",79.94,1.16
"3300018025_21.fna",92.52,0.93
"3300018025_16.fna",87.76,4.31
"3300018026_17.fna",96.7,0.99
"3300018026_9.fna",80.78,4.55
"3300018026_13.fna",92.9,0.04
"3300018026_19.fna",87.6,1.6
"3300018026_8.fna",96.77,8.52
"3300018026_10.fna",86.57,5.73
"3300018026_14.fna",86.97,5.67
"3300018030_12.fna",88.13,7.76
"3300018030_18.fna",96.7,0.99
"3300018030_14.fna",86.55,3.36
"3300018032_7.fna",70.12,2.73
"3300018033_8.fna",96.45,0.65
"3300018033_14.fna",71.05,2.4
"3300018033_10.fna",95.92,0.65
"3300018033_11.fna",72.94,1.1
"3300018033_20.fna",80.88,0
"3300018034_7.fna",91.75,1.98
"3300018035_18.fna",82.71,0
"3300018035_13.fna",94.61,0.65
"3300018035_17.fna",74.79,0.85
"3300018035_10.fna",85.81,2.48
"3300018035_11.fna",81.95,2.2
"3300018035_6.fna",91.61,2.26
"3300018037_5.fna",83.05,4.4
"3300018037_8.fna",90.69,0.65
"3300018037_6.fna",95.48,0.97
"3300018038_8.fna",88.45,1.98
"3300018040_21.fna",76.52,0.99
"3300018040_27.fna",70.74,0.93
"3300018040_17.fna",77.78,0.43
"3300018040_15.fna",85.43,4.19
"3300018040_20.fna",83,2.09
"3300018042_8.fna",81.69,3.46
"3300018042_14.fna",79.6,0.93
"3300018043_8.fna",89.53,2.94
"3300018043_11.fna",86.76,0.65
"3300018043_10.fna",86.8,0.99
"3300018044_5.fna",87.61,2.93
"3300018044_9.fna",95.92,0.65
"3300018044_7.fna",87.74,1.33
"3300018046_10.fna",89.68,0.67
"3300018046_18.fna",76.32,6.54
"3300018046_14.fna",88.46,2.4
"3300018046_11.fna",95.92,0.65
"3300018047_7.fna",90.69,0.65
"3300018053_7.fna",85.33,4.56
"3300018056_7.fna",94.36,3.2
"3300018057_22.fna",92.82,3.42
"3300018057_21.fna",71.82,6.46
"3300018057_12.fna",94.19,5.67
"3300018057_17.fna",78.91,7.82
"3300018057_23.fna",81.85,4.18
"3300018057_24.fna",89.48,9.86
"3300018059_6.fna",96.59,2.27
"3300018060_4.fna",71.39,5.45
"3300018062_12.fna",93.14,2.61
"3300018063_20.fna",75.68,5.89
"3300018063_16.fna",92,0.26
"3300018064_7.fna",74.95,7.96
"3300018064_9.fna",78.76,7.07
"3300018068_6.fna",82.51,1.49
"3300018077_12.fna",85.31,2.2
"3300018079_15.fna",81.92,4.21
"3300018079_9.fna",97.74,1.1
"3300018079_10.fna",98.9,5.49
"3300018081_5.fna",77.08,7
"3300018082_7.fna",78.21,1.4
"3300018082_9.fna",97.74,0
"3300018084_4.fna",95.84,2.25
"3300018085_8.fna",84.83,7.52
"3300018088_18.fna",75.94,1.12
"3300018088_17.fna",78.06,0
"3300018088_20.fna",77.52,2.14
"3300018090_15.fna",92.94,3.42
"3300018090_18.fna",82.19,0.1
"3300018422_12.fna",77.02,0
"3300018429_8.fna",79.52,1.11
"3300018429_5.fna",70.36,4.77
"3300018429_7.fna",93.33,5.68
"3300018432_25.fna",71.36,1.46
"3300018432_9.fna",87,5.82
"3300018432_6.fna",89.79,6.49
"3300018920_4.fna",88.03,9.36
"3300018920_6.fna",94.87,0.85
"3300019082_16.fna",86.22,1.36
"3300019082_11.fna",96.13,2.74
"3300019082_6.fna",94.84,6.77
"3300019082_12.fna",83.08,1.83
"3300020131_6.fna",98.52,0
"3300020131_7.fna",83.29,3.63
"3300020131_5.fna",99.75,3.75
"3300020146_5.fna",77.43,1.75
"3300020146_4.fna",90.38,4.33
"3300020147_5.fna",97.93,3.46
"3300020152_7.fna",99.44,0.84
"3300020152_5.fna",92.89,4.63
"3300020152_8.fna",95.02,7.47
"3300020152_16.fna",80.46,0
"3300020154_4.fna",99.66,3.71
"3300020154_7.fna",80.17,0
"3300020156_8.fna",95.22,2.98
"3300020156_9.fna",95.18,3.92
"3300020156_11.fna",76.57,1.02
"3300020156_7.fna",99.05,0.48
"3300020156_17.fna",74.84,0
"3300020181_2.fna",88.46,5.77
"3300020202_17.fna",77.72,0
"3300020202_4.fna",83.51,1.51
"3300020202_5.fna",94.84,1.72
"3300020202_7.fna",75.41,0.91
"3300020215_14.fna",94.45,1.64
"3300020215_19.fna",71.21,1.54
"3300020215_9.fna",81.03,0
"3300020215_10.fna",89.28,3.23
"3300020215_25.fna",79.35,0
"3300020215_8.fna",77.93,1.91
"3300020215_6.fna",95.46,5.05
"3300020580_6.fna",80.65,0.33
"3300020580_5.fna",79.95,2.25
"3300020580_7.fna",89.32,0.85
"3300020582_11.fna",76.34,0
"3300020583_10.fna",95.4,0.17
"3300021057_10.fna",79.68,0
"3300021057_3.fna",99.4,2.08
"3300021057_4.fna",99.88,2.55
"3300021061_7.fna",74.45,1.85
"3300021062_4.fna",75.99,0
"3300021066_3.fna",80.72,5.94
"3300021066_4.fna",87.66,2.56
"3300021066_2.fna",84.82,5.36
"3300021067_4.fna",93.81,0.95
"3300021080_3.fna",78.22,0.9
"3300021081_4.fna",87.56,1.59
"3300021086_3.fna",99.01,1.48
"3300021090_7.fna",95.45,2.61
"3300021090_31.fna",77.01,5.96
"3300021090_10.fna",71.82,0
"3300021090_11.fna",76.33,3.36
"3300021168_6.fna",99.51,1.26
"3300021170_13.fna",72.19,1.1
"3300021170_8.fna",85.65,5.65
"3300021180_8.fna",95.71,1.9
"3300021181_16.fna",71.34,0.85
"3300021184_1.fna",95.55,8.25
"3300021339_7.fna",99.4,1.39
"3300021339_3.fna",94.87,3.47
"3300021401_7.fna",74.9,8.69
"3300021402_5.fna",96.67,0.48
"3300021403_4.fna",98.29,4.77
"3300021403_5.fna",89.93,2.13
"3300021404_9.fna",78.9,7.99
"3300021404_13.fna",83.46,1.69
"3300021406_8.fna",90.2,2.36
"3300021407_5.fna",97.78,0.99
"3300021420_9.fna",72.69,5.09
"3300021420_7.fna",76.64,0.27
"3300021432_18.fna",72.26,2.5
"3300021433_6.fna",89.66,0.49
"3300021444_5.fna",100,0.49
"3300021444_6.fna",100,0.74
"3300021444_7.fna",84.97,2.44
"3300021474_5.fna",84.98,3.84
"3300021477_12.fna",74.18,2.03
"3300021477_15.fna",70.09,1.71
"3300021478_22.fna",71.68,0
"3300021478_13.fna",87.79,0.39
"3300021478_8.fna",76.65,4.61
"3300021479_5.fna",71.67,2.22
"3300021559_8.fna",78.54,7.69
"3300021559_7.fna",71.69,0.58
"3300022824_1.fna",96.84,6.22
"3300022862_6.fna",84.89,0.25
"3300022876_5.fna",94.24,5.03
"3300022879_3.fna",99.97,7.57
"3300022879_4.fna",96.52,0.84
"3300022893_2.fna",70.83,0.93
"3300022895_6.fna",95.57,0.63
"3300022895_8.fna",88.19,2.67
"3300022899_3.fna",83.48,3.97
"3300023030_1.fna",80.17,1.76
"3300023046_1.fna",100,2.61
"3300023055_7.fna",84.64,5.17
"3300023055_12.fna",77.1,0
"3300023055_8.fna",90.55,1.92
"3300023055_10.fna",81.35,3.92
"3300023055_11.fna",73.31,0.92
"3300023059_6.fna",100,3.04
"3300023059_8.fna",85.66,4.25
"3300023059_11.fna",80.02,0.97
"3300023060_1.fna",78.62,3.89
"3300023065_8.fna",86.89,0
"3300023065_5.fna",98.52,0
"3300023073_1.fna",90.82,2.58
"3300023091_10.fna",86.05,3.27
"3300023091_7.fna",88.97,1.73
"3300023091_6.fna",92.71,5.56
"3300023091_9.fna",89.55,0.88
"3300023252_5.fna",94.4,1.35
"3300024179_1.fna",100,4.32
"3300024181_1.fna",94.66,1.28
"3300024186_2.fna",96.96,5.41
"3300024186_3.fna",91.45,4.44
"3300024186_1.fna",99.15,4.89
"3300024222_2.fna",90.6,3.47
"3300024222_3.fna",90.88,0.72
"3300024246_2.fna",98.29,7.79
"3300024254_1.fna",81.21,5.56
"3300024279_1.fna",93.82,6.03
"3300024283_2.fna",87.95,6.76
"3300024284_3.fna",81.03,4.27
"3300024290_3.fna",98.29,6.32
"3300024325_2.fna",100,4.56
"3300026366_1.fna",94.25,7.26
"3300026368_2.fna",99.46,0.14
"3300026368_3.fna",83.2,1.05
"3300028146_2.fna",97.44,3.7
"3300028331_1.fna",99.66,4.17
"3300028331_2.fna",99.66,0.11
"3300028431_1.fna",97.24,3.48
"3300028432_1.fna",99.66,3.48
"3300028438_1.fna",100,0.69
"3300028438_2.fna",99.66,4.17
"3300028439_2.fna",99.66,4.17
"3300028439_1.fna",100,0.69
"3300028440_2.fna",100,0.32
"3300028440_1.fna",99.66,3.48
"3300028441_2.fna",99.21,0.92
"3300028447_3.fna",92.28,7.98
"3300028449_3.fna",90.15,1.24
"3300028590_18.fna",86.17,1.99
"3300028592_10.fna",73.03,2.15
"3300028705_1.fna",82.61,2.68
"3300028709_1.fna",80.47,3.49
"3300028811_4.fna",73.66,0
"3300028878_7.fna",85.2,4.53
"3300029916_2.fna",79.37,1.37
"3300029919_3.fna",80.89,1.37
"3300029920_6.fna",82.37,4.75
"3300029956_7.fna",86.18,7.23
"3300029980_3.fna",88.76,9.49
"3300029981_4.fna",72.16,2.68
"3300029981_7.fna",79.57,2.35
"3300029981_9.fna",82.63,0.03
"3300029981_5.fna",88.6,1.17
"3300029981_20.fna",76.31,6.9
"3300029982_10.fna",94.64,0.89
"3300029982_11.fna",83.37,1.29
"3300029982_6.fna",98.03,0.99
"3300029982_14.fna",73.62,1.26
"3300029982_12.fna",85.05,4.29
"3300029983_4.fna",79.85,1.12
"3300029985_23.fna",76.57,3.37
"3300029985_7.fna",98.03,0.99
"3300029985_12.fna",75.99,3.61
"3300029985_11.fna",74.51,0.87
"3300029986_4.fna",73.53,7.87
"3300029986_8.fna",85.1,3.48
"3300029986_6.fna",97.34,0.99
"3300029986_10.fna",73.39,1.26
"3300029988_10.fna",75.63,1.99
"3300029992_12.fna",83.19,2.2
"3300029992_13.fna",82.29,2.6
"3300029993_10.fna",97.77,1.55
"3300029993_8.fna",80.3,5.26
"3300029994_8.fna",85.29,6.54
"3300029994_14.fna",81.24,0.87
"3300029994_13.fna",90.46,6.59
"3300029995_6.fna",85.84,8.86
"3300029995_5.fna",73.68,1.01
"3300029998_4.fna",93.87,0.94
"3300029998_5.fna",77.99,1.1
"3300030001_4.fna",80.32,2.75
"3300030004_7.fna",79.71,4.28
"3300030004_5.fna",98.03,0.99
"3300030005_3.fna",98.2,0.89
"3300030011_13.fna",85.71,0.55
"3300030011_11.fna",86.03,0.89
"3300030014_3.fna",83.29,0.59
"3300030041_13.fna",84.51,1.37
"3300030041_8.fna",97.54,0.99
"3300030041_12.fna",84.12,7.02
"3300030041_10.fna",82.19,1.37
"3300030041_9.fna",96.94,0.44
"3300030041_15.fna",78.54,2.71
"3300030042_10.fna",92.91,2.11
"3300030042_16.fna",71.29,0
"3300030043_10.fna",89.75,1.72
"3300030044_6.fna",98.03,0.99
"3300030044_7.fna",97.82,0.89
"3300030044_8.fna",80.36,7.21
"3300030045_6.fna",97.82,0.89
"3300030045_10.fna",72.6,4.59
"3300030047_8.fna",71.9,3.45
"3300030047_14.fna",77.59,9.09
"3300030048_5.fna",89.96,0.82
"3300030048_6.fna",71.31,1.78
"3300030048_8.fna",80.22,0
"3300030049_8.fna",89.33,3.45
"3300030049_5.fna",98.03,1.48
"3300030051_9.fna",74.14,0
"3300030054_6.fna",79.23,1.77
"3300030054_5.fna",94.44,3.7
"3300030057_3.fna",98.29,4.13
"3300030058_5.fna",76.41,2.08
"3300030058_6.fna",94.66,2.42
"3300030225_10.fna",88.64,0.97
"3300030225_9.fna",85.6,1.08
"3300030491_2.fna",87.16,4.12
"3300030492_7.fna",70.9,4.67
"3300030492_5.fna",86.43,4.05
"3300030492_6.fna",97.76,0.78
"3300030506_9.fna",78.42,1.41
"3300030506_7.fna",98.03,0.99
"3300030507_6.fna",97.54,1.48
"3300030507_9.fna",78.08,7.79
"3300030507_3.fna",72.28,4.71
"3300030508_5.fna",98.03,0.99
"3300030508_10.fna",77.96,3.22
"3300030510_1.fna",97.44,8.64
"3300030518_17.fna",84.19,2.66
"3300030519_12.fna",92.11,1.76
"3300030519_13.fna",75.86,0
"3300030519_10.fna",83.24,0
"3300030673_7.fna",93.99,2.01
"3300030673_9.fna",76.87,0
"3300030673_4.fna",92.67,3.91
"3300030685_5.fna",95.17,2.18
"3300030687_16.fna",89.75,1.34
"3300030687_17.fna",82.19,8.32
"3300030687_20.fna",71.29,0.99
"3300030687_11.fna",76.37,3.27
"3300030687_9.fna",84.23,9.23
"3300030746_13.fna",75.29,0
"3300030746_6.fna",75.05,9.06
"3300030746_10.fna",98.35,1.55
"3300031027_10.fna",79.29,6.08
"3300031184_2.fna",91.51,3.77
"3300031184_4.fna",76.85,0
"3300031198_2.fna",91.36,4.59
"3300031198_4.fna",76.67,0
"3300031233_8.fna",87.39,9.6
"3300031233_14.fna",97.77,3.88
"3300031455_7.fna",73.69,1.82
"3300031524_18.fna",87.37,2.01
"3300031524_17.fna",94.27,1.08
"3300031524_22.fna",78.95,1.75
"3300031524_24.fna",82.74,0.99
"3300031524_30.fna",100,2.25
"3300031524_25.fna",80.57,7.69
"3300031524_28.fna",72.68,3.49
"3300031525_30.fna",72.22,2.31
"3300031525_23.fna",92.16,6.31
"3300031525_28.fna",72.69,0.57
"3300031539_69.fna",71.78,0.99
"3300031539_14.fna",95.51,3.37
"3300031539_62.fna",71.33,1.43
"3300031539_34.fna",83.36,0.85
"3300031539_37.fna",78.83,0.86
"3300031539_44.fna",73.39,0.85
"3300031539_58.fna",73.29,2
"3300031539_16.fna",94.32,0
"3300031539_63.fna",71.83,4.49
"3300031539_42.fna",92.09,2.01
"3300031564_4.fna",97.63,0.7
"3300031565_30.fna",92.82,1.72
"3300031565_45.fna",89.54,2.94
"3300031565_61.fna",78.06,2.12
"3300031565_57.fna",76.21,4.55
"3300031565_60.fna",93.29,3.69
"3300031565_17.fna",84.09,3.41
"3300031565_21.fna",90.13,9.23
"3300031565_41.fna",77.15,2.56
"3300031565_63.fna",81.73,2.48
"3300031565_42.fna",75.4,4.21
"3300031565_36.fna",74.33,4.75
"3300031565_18.fna",97.74,0
"3300031565_40.fna",75.67,4.27
"3300031565_73.fna",71.78,2.09
"3300031566_24.fna",74.93,0
"3300031566_32.fna",79.52,5.98
"3300031566_61.fna",91.13,1.64
"3300031566_64.fna",72.58,4.87
"3300031566_43.fna",72.77,0
"3300031566_37.fna",80.57,0.9
"3300031566_58.fna",70.9,3.94
"3300031566_41.fna",85.31,5.49
"3300031566_48.fna",71.45,8.01
"3300031566_46.fna",94.37,1.47
"3300031566_44.fna",90.11,0
"3300031566_40.fna",96.7,2.2
"3300031566_20.fna",86.55,5.56
"3300031573_6.fna",99.62,0.47
"3300031577_4.fna",99.12,0
"3300031577_2.fna",98.72,1.63
"3300031577_5.fna",100,0.55
"3300031577_3.fna",96.84,1.72
"3300031578_17.fna",92.3,3.73
"3300031578_35.fna",85.89,8.77
"3300031578_20.fna",95.4,1.15
"3300031578_24.fna",86.16,2.18
"3300031578_16.fna",82.56,5.2
"3300031578_28.fna",85.71,0
"3300031578_34.fna",90.15,1.48
"3300031578_30.fna",75.89,1.96
"3300031669_46.fna",70.11,0
"3300031669_26.fna",75.53,2.38
"3300031669_19.fna",90.34,0.57
"3300031669_34.fna",84.16,1.09
"3300031669_22.fna",94.83,1.15
"3300031669_23.fna",85.59,7.51
"3300031670_37.fna",75.29,0
"3300031670_23.fna",88.64,2.22
"3300031670_36.fna",74.32,9.09
"3300031670_17.fna",75.99,0.99
"3300031670_27.fna",72.45,0.33
"3300031671_23.fna",75.69,3.47
"3300031671_39.fna",71.84,0.86
"3300031672_33.fna",87.07,1.6
"3300031672_27.fna",73.23,0
"3300031672_32.fna",73.52,5.9
"3300031672_22.fna",99.51,4.85
"3300031672_14.fna",72.94,8.36
"3300031672_25.fna",91.91,3.85
"3300031672_39.fna",75.29,0
"3300031673_44.fna",71.17,2.31
"3300031673_14.fna",98.85,9.58
"3300031673_47.fna",86.45,2.62
"3300031673_16.fna",71.44,7.56
"3300031673_21.fna",74.54,3.4
"3300031673_35.fna",92.91,0.79
"3300031673_26.fna",90.11,6.78
"3300031673_18.fna",97.73,3.41
"3300031673_11.fna",90.45,7.3
"3300031673_22.fna",98.85,1.15
"3300031673_19.fna",74.45,4.59
"3300031673_20.fna",93.81,5.21
"3300031673_29.fna",91.04,1.31
"3300031673_28.fna",75.66,2.42
"3300031673_45.fna",91.94,3.27
"3300031680_5.fna",85.15,0.29
"3300031681_5.fna",92.61,1.87
"3300031720_3.fna",75.21,9.89
"3300031726_9.fna",90.76,3.37
"3300031726_16.fna",98.81,0.97
"3300031748_4.fna",86.41,1.23
"3300031751_4.fna",88.45,0.5
"3300031753_7.fna",90.65,1.87
