"MAG_ID","IMG.Genome.ID","Bin.Completeness","Bin.Contamination","Average.Coverage","Genome_size_Mbp","Ecosystem.x","Latitude","Longitude","Source","GTDB.Taxonomy.Lineage"
"3300013105_21",3300013105,79.89,6.93,12.06,5.130085,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Chloroflexota; Ktedonobacteria; Ktedonobacterales"
"3300013105_22",3300013105,96.67,1.43,38.02,4.859508,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter"
"3300013105_27",3300013105,86.51,9.64,13.93,4.634076,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Luteibacter"
"3300013105_29",3300013105,94.27,0.87,9.4,4.290385,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Kosakonia; Kosakonia cowanii"
"3300013105_28",3300013105,77.03,0.51,139.13,4.487377,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter"
"3300013105_23",3300013105,88.21,1.59,100.83,4.862288,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Ralstonia; GCF_900115545.1"
"3300013296_32",3300013296,77.81,6.98,7.95,4.147141,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter"
"3300013296_33",3300013296,95.95,3.6,24.91,3.974901,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae"
"3300013296_23",3300013296,99.15,2.56,53.9,5.231092,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Acidobacteriota; Thermoanaerobaculia"
"3300013296_35",3300013296,89.59,1.49,29.79,3.614818,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013296_28",3300013296,87.8,1.73,30.17,4.56868,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter"
"3300013296_25",3300013296,94.62,1.61,31.54,4.868345,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae"
"3300013296_18",3300013296,85.22,1.72,26.03,6.308295,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013296_24",3300013296,93.34,2.18,11.15,5.183467,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; UKL13-2"
"3300013297_36",3300013297,70.77,4.19,11.68,2.670151,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Dermatophilaceae; UBA4719"
"3300013297_38",3300013297,75.93,1.02,9.11,2.059829,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae_H; Bacillus_C; Bacillus_C megaterium"
"3300013297_27",3300013297,89.92,5.26,9.52,4.309736,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; GWC2-71-9"
"3300013297_17",3300013297,88.54,3.7,45.97,5.616519,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Acidobacteriota; Thermoanaerobaculia"
"3300013297_21",3300013297,89.65,3.55,15.01,4.896219,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae"
"3300013306_60",3300013306,81.72,7.22,14.09,1.669889,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae"
"3300013306_64",3300013306,71.39,0,6.71,1.533875,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; UBA5158; UBA5158; 2-12-FULL-45-12"
"3300013306_28",3300013306,96.42,1.45,26.61,4.916249,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae"
"3300013306_16",3300013306,96.58,2.32,9.61,7.560945,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013306_34",3300013306,83.76,1.07,53.48,4.025552,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae"
"3300013306_25",3300013306,76.2,1.07,9.33,5.525566,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae"
"3300013306_33",3300013306,98,1.01,49.99,4.098164,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Rudaea"
"3300013306_40",3300013306,90.85,1.23,20.05,3.337296,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013306_46",3300013306,79.29,0.74,6.96,2.48124,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; 65-1"
"3300013307_16",3300013307,91.68,4.68,9.84,7.062523,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013307_19",3300013307,93.45,7.29,14.69,6.626526,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013307_39",3300013307,71.95,9.36,6.71,3.292287,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA1935"
"3300013307_26",3300013307,92.86,0.74,58.69,4.609488,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter"
"3300013307_31",3300013307,92.92,2.14,9.08,4.248446,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; AKYH767; 2-12-FULL-35-15; 2-12-FULL-35-15"
"3300013307_24",3300013307,97.22,0.8,164.03,5.317922,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Ralstonia; GCF_900115545.1"
"3300013307_97",3300013307,80.98,1.23,13.08,0.855348,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; Saccharimonadaceae; UBA6022"
"3300013307_74",3300013307,71.91,0,10.25,1.274234,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; UBA4665"
"3300013308_22",3300013308,93.07,4.9,20.63,4.48034,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium"
"3300013308_50",3300013308,80.16,3.07,14.47,1.732774,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae"
"3300013308_31",3300013308,86.39,3.2,22.1,3.37992,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013308_19",3300013308,99.31,3.42,47.83,5.481469,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Acidobacteriota; Thermoanaerobaculia"
"3300013308_21",3300013308,94.4,1.29,32.51,4.695306,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae"
"3300013308_26",3300013308,94.14,1.01,13.26,3.861231,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae"
"3300014325_9",3300014325,97.43,1.56,11.04,3.63769,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Spongiibacteraceae"
"3300014325_8",3300014325,94.33,8.16,10.51,3.868674,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300014325_10",3300014325,83,2.35,19.11,3.561511,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae"
"3300014326_8",3300014326,74.82,3.33,11.92,3.660964,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Saprospiraceae"
"3300014326_7",3300014326,91.83,1.11,11.87,4.044066,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; AKYH767-A; OLB10"
"3300014497_10",3300014497,100,0,25.26,4.457348,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",41.1591,-96.4086,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; Chryseobacterium indoltheticum"
"3300014497_12",3300014497,73.03,2.75,7.93,2.708213,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",41.1591,-96.4086,"plant-associated","Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae"
"3300014968_13",3300014968,97.1,2.99,9.91,3.991482,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae"
"3300014969_9",3300014969,87.38,0.99,8.22,6.185223,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300014969_15",3300014969,91.16,1.73,7.86,1.651539,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Verrucomicrobiota; Chlamydiia; Parachlamydiales; Ga0074140"
"3300015262_4",3300015262,96.16,5.55,14.11,9.051959,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",41.1591,-96.4086,"plant-associated","Bacteria; Actinobacteriota; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces"
"3300015262_7",3300015262,76.05,4.14,12.65,6.173463,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",41.1591,-96.4086,"plant-associated","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium; Rhizobium lusitanum"
"3300015265_4",3300015265,99.18,1.64,11.49,7.707419,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",41.1613,-96.6752,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Chitinophaga"
"3300021358_3",3300021358,96.09,2.97,39.07,3.545297,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",-19.2822,-43.5936,"plant-associated","Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas_F"
"3300021358_2",3300021358,94.83,9.43,12.65,4.879741,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",-19.2822,-43.5936,"plant-associated","Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Pseudonocardiaceae"
"3300021361_9",3300021361,93.58,1.11,72.49,1.851984,"Host-associated; Plants; Roots; Rhizosphere; Unclassified",-19.2822,-43.5936,"plant-associated","Bacteria; Proteobacteria; Alphaproteobacteria; Micavibrionales"
"3300028017_2",3300028017,81.75,0,14.61,2.643136,"Host-associated; Plants; Roots; Rhizosphere; Soil",59.9992,10.7901,"plant-associated","Bacteria; UBP12; UBA5184; UBA5184; UBA5184"
"3300028556_9",3300028556,74.8,0.86,21.05,2.142216,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300028563_5",3300028563,87.8,6.6,17.12,5.026388,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Acidobacteriota; Acidobacteriae; UBA7541; UBA7541"
"3300028573_8",3300028573,83.21,1.34,18.7,3.35642,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria"
"3300028573_6",3300028573,82.62,8.43,15.63,3.991949,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Bacteroidota; UBA10030; UBA10030; UBA8401"
"3300028577_10",3300028577,75.95,1.52,20.56,2.302412,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Proteobacteria; Alphaproteobacteria; UBA1301; UBA1301; UBA6038"
"3300028577_9",3300028577,83.97,1.2,14.1,2.65828,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria"
"3300028653_3",3300028653,94.52,9.39,17.17,4.915359,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; UBA5072"
"3300028654_9",3300028654,99.51,0,22.15,1.719712,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrosopumilaceae; Nitrosotalea"
"3300028654_8",3300028654,75.55,6.45,16.99,1.942414,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Omnitrophota; koll11; UBA10015; GCA-002753745"
"3300028654_6",3300028654,73,0,16.94,2.442914,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Bacteroidota; UBA10030; UBA10030"
"3300028666_5",3300028666,95.63,3.83,38.25,4.484586,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Bacteroidota; UBA10030; UBA10030; UBA8401"
"3300028666_7",3300028666,79.45,4.2,22.46,3.109601,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Tous-C4FEB"
"3300028800_47",3300028800,78.74,1.72,24.68,0.917115,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Patescibacteria; Paceibacteria; UBA9983; Kaiserbacteraceae; GWA1-54-10"
"3300028800_44",3300028800,83.91,2.59,44.69,1.006113,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Patescibacteria; Paceibacteria; UBA9983; Taylorbacteraceae"
"3300028800_45",3300028800,76.4,4.09,33.58,0.999774,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Patescibacteria; CPR2; UBA1875"
"3300028800_17",3300028800,97.32,1.79,26.6,4.093906,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Bdellovibrionota; Bdellovibrionia; Bdellovibrionales"
"3300028800_18",3300028800,90,4.13,20.75,4.081388,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; RBG-16-67-19"
"3300028800_8",3300028800,82.42,8.67,13.27,7.095487,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Chloroflexota; Ktedonobacteria; Ktedonobacterales; Ktedonobacteraceae"
"3300029957_7",3300029957,98.9,2.2,23.12,5.882915,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Fibrobacterota; Fibrobacteria; Fibrobacterales"
"3300031235_5",3300031235,93.99,8.12,26.49,3.804017,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Bacteroidota; UBA10030; UBA10030"
"3300031235_8",3300031235,97.61,0.55,20.25,3.490415,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; SCN-68-22"
"3300031235_7",3300031235,78.58,2.3,26.74,3.493867,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Spirochaetota; Spirochaetia; Treponematales; UBA8932"
"3300031235_9",3300031235,81,7.65,12.99,3.327329,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; RBG-16-67-19"
"3300031235_6",3300031235,97.8,1.1,16.94,3.633154,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; AABM5-125-24; AABM5-125-24"
"3300031238_9",3300031238,97.35,0.5,98.59,3.432313,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; SCN-68-22"
"3300031238_10",3300031238,91.88,0,20.27,3.357411,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Rhodocyclaceae; Dechlorosoma; Dechlorosoma suillum"
"3300031238_8",3300031238,96.7,0,14.93,3.448064,"Host-associated; Plants; Roots; Rhizosphere; Soil",47.6516,-122.3045,"plant-associated","Bacteria; AABM5-125-24; AABM5-125-24"
