"trait","PC1","PC","direction","PC2","PC3","PC4","PC5"
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.C.transport",NA,"PC2","negative",-0.171459402290837,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleobase.transport",NA,"PC2","negative",-0.165486419798147,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",NA,"PC2","negative",-0.163281616574182,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.phosphate.transport",NA,"PC2","negative",-0.137612772447408,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport",NA,"PC2","negative",-0.134044853114424,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.acid.transport",NA,"PC2","negative",-0.128675619482542,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.aromatic.acid.transport",NA,"PC2","negative",-0.106384717580247,NA,NA,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.osmotic.sensing.two.component.systems..osmotic.sensors.salt.potassium.sensors",NA,"PC2","negative",-0.104882667947396,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.sugar.alcohol.transport",NA,"PC2","negative",-0.0986362591656617,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.osmolyte.transport",NA,"PC2","negative",-0.0938177415623075,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.other.transport",NA,"PC2","negative",-0.0839386574482862,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carboxylate.transport.tricarboxylate.transport",NA,"PC2","negative",-0.0824727848074271,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.secondary.metabolite.transport.siderophore.based.transport",NA,"PC2","negative",-0.0819315263903462,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.trisaccharide.transport",NA,"PC2","negative",-0.0809911559994423,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrogen.transport",NA,"PC3","positive",NA,0.235605193564119,NA,NA
"Resource.Acquisition.Substrate.uptake.biopolymer.transport",NA,"PC3","positive",NA,0.232626937200386,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",NA,"PC3","positive",NA,0.224646376480318,NA,NA
"Resource.Acquisition.Substrate.uptake.lipid.transport",NA,"PC3","positive",NA,0.197108583984286,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrite.transport",NA,"PC3","positive",NA,0.187901159792376,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.urea.transport",NA,"PC3","positive",NA,0.146355320186333,NA,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.enhancement.of.microenvironment.EPS.biosynthesis.export",NA,"PC3","positive",NA,0.142026085887388,NA,NA
"Stress.Tolerance.General.biofilm.formation.EPS.biosynthesis.export",NA,"PC3","positive",NA,0.142026085887388,NA,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.periplasmic.acid.resistance.protein",NA,"PC3","positive",NA,0.114631808374954,NA,NA
"Resource.Acquisition.Substrate.uptake.carboxylate.transport.tricarboxylate.transport",NA,"PC3","positive",NA,0.109942962963883,NA,NA
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.RNA.degradation",NA,"PC3","positive",NA,0.10565926621592,NA,NA
"Resource.Acquisition.Substrate.uptake.organophosphorus.compound.transport",NA,"PC3","positive",NA,0.0933626805778935,NA,NA
"Stress.Tolerance.Specific.pH.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC3","positive",NA,0.0863354450559496,NA,NA
"Stress.Tolerance.Specific.oxidative.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC3","positive",NA,0.0863354450559496,NA,NA
"Stress.Tolerance.Specific.oxygen.limitation.redox.sensing.redox.sensing.two.component.systems",NA,"PC3","positive",NA,0.0863354450559496,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport",NA,"PC3","negative",NA,-0.241606447770329,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.trisaccharide.transport",NA,"PC3","negative",NA,-0.233670397144666,NA,NA
"Stress.Tolerance.Specific.envelope.stress.phage.resistance.phage.shock.system",NA,"PC3","negative",NA,-0.224495863255424,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",NA,"PC3","negative",NA,-0.220747433883929,NA,NA
"Stress.Tolerance.Specific.temperature.low.cold.sensing.machinery.cold.sensing.two.component.system",NA,"PC3","negative",NA,-0.210909173626714,NA,NA
"Resource.Acquisition.Substrate.uptake.lipid.transport.cell.membrane.lipid.transport",NA,"PC3","negative",NA,-0.202555072002959,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",NA,"PC3","negative",NA,-0.201911607553598,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",NA,"PC3","negative",NA,-0.201765060192474,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC3","negative",NA,-0.198091786364255,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown",NA,"PC3","negative",NA,-0.176312937028039,NA,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleotide.transport",NA,"PC3","negative",NA,-0.173032985134308,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.polysaccharide.transport",NA,"PC3","negative",NA,-0.153356665579292,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",NA,"PC3","negative",NA,-0.134856306492634,NA,NA
"Stress.Tolerance.Specific.oxygen.limitation.oxygen.sensing.oxygen.sensing.two.component.systems",NA,"PC3","negative",NA,-0.129304321705105,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.disaccharide.transport",NA,"PC3","negative",NA,-0.116571991138185,NA,NA
"Stress.Tolerance.Specific.envelope.stress.misfolded.protein.secretion.stress.sensing.misfolded.proteins.secretion.stress.two.component.systems",NA,"PC4","positive",NA,NA,0.210273471435603,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.phosphate.transport",NA,"PC4","positive",NA,NA,0.208338590992438,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.ribonucleoside.transport",NA,"PC4","positive",NA,NA,0.20061934163001,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.acid.transport",NA,"PC4","positive",NA,NA,0.155186025954075,NA
"Resource.Acquisition.Substrate.uptake.peptide.transport",NA,"PC4","positive",NA,NA,0.153953896018563,NA
"Resource.Acquisition.Substrate.uptake.lipid.transport",NA,"PC4","positive",NA,NA,0.146908355837769,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",NA,"PC4","positive",NA,NA,0.144818996639768,NA
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.C.transport",NA,"PC4","positive",NA,NA,0.142432752904014,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.osmotic.sensing.two.component.systems..osmotic.sensors.salt.potassium.sensors",NA,"PC4","positive",NA,NA,0.135716459404816,NA
"Resource.Acquisition.Substrate.uptake.biopolymer.transport",NA,"PC4","positive",NA,NA,0.12958523381073,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleoside.transport",NA,"PC4","positive",NA,NA,0.128358410183264,NA
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.decarboxylase.and.antiporter.systems",NA,"PC4","positive",NA,NA,0.114558341414769,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.enhancement.of.microenvironment.EPS.biosynthesis.export",NA,"PC4","positive",NA,NA,0.104599056444208,NA
"Stress.Tolerance.General.biofilm.formation.EPS.biosynthesis.export",NA,"PC4","positive",NA,NA,0.104599056444208,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC4","positive",NA,NA,0.10291277910256,NA
"Stress.Tolerance.Specific.temperature.high.heat.induced.transcriptional.regulation.heat.induced.transcription.factor",NA,"PC4","negative",NA,NA,-0.264668550963344,NA
"Stress.Tolerance.Specific.pH.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC4","negative",NA,NA,-0.218839714267125,NA
"Stress.Tolerance.Specific.oxidative.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC4","negative",NA,NA,-0.218839714267125,NA
"Stress.Tolerance.Specific.oxygen.limitation.redox.sensing.redox.sensing.two.component.systems",NA,"PC4","negative",NA,NA,-0.218839714267125,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport",NA,"PC4","negative",NA,NA,-0.21232301692023,NA
"Stress.Tolerance.Specific.pH.stress.membrane.stabilization.cyclopropane.fatty.acid..CFA..synthase",NA,"PC4","negative",NA,NA,-0.199099412757526,NA
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.urease.system",NA,"PC4","negative",NA,NA,-0.198190518515076,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.accumulation.of.compatible.solutes.synthesis.of.compatible.solutes",NA,"PC4","negative",NA,NA,-0.181886496947579,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.polysaccharide.transport",NA,"PC4","negative",NA,NA,-0.175493499958521,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.trisaccharide.transport",NA,"PC4","negative",NA,NA,-0.156165012782738,NA
"Resource.Acquisition.Substrate.uptake.ion.transport.inorganic.ion.transport",NA,"PC4","negative",NA,NA,-0.154831937282767,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",NA,"PC4","negative",NA,NA,-0.144968312467775,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.ammonium.transport",NA,"PC4","negative",NA,NA,-0.138433588974706,NA
"Stress.Tolerance.Specific.temperature.low.cold.sensing.machinery.cold.sensing.two.component.system",NA,"PC4","negative",NA,NA,-0.127183584242629,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.periplasmic.acid.resistance.protein",NA,"PC4","negative",NA,NA,-0.123431183572881,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",NA,"PC5","positive",NA,NA,NA,0.246056574953998
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.urease.system",NA,"PC5","positive",NA,NA,NA,0.238456551587345
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",NA,"PC5","positive",NA,NA,NA,0.232651726771732
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC5","positive",NA,NA,NA,0.232003269762506
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown",NA,"PC5","positive",NA,NA,NA,0.231675957238741
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",NA,"PC5","positive",NA,NA,NA,0.180585171431053
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",NA,"PC5","positive",NA,NA,NA,0.176485808082796
"Stress.Tolerance.General.scavenging.of.reactive.oxygen.species.ROS.scavenging.enzymes",NA,"PC5","positive",NA,NA,NA,0.170297927404547
"Stress.Tolerance.Specific.oxidative.stress.scavenging.of.reactive.oxygen.species.ROS.scavenging.enzymes",NA,"PC5","positive",NA,NA,NA,0.148255368670038
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrite.transport",NA,"PC5","positive",NA,NA,NA,0.135719785418801
"Resource.Acquisition.Substrate.uptake.N.compound.transport.urea.transport",NA,"PC5","positive",NA,NA,NA,0.116184798553804
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.ribonucleoside.transport",NA,"PC5","positive",NA,NA,NA,0.0954085552511851
"Resource.Acquisition.Substrate.uptake.biopolymer.transport",NA,"PC5","positive",NA,NA,NA,0.0933838520818411
"Stress.Tolerance.Specific.pH.stress.redox.sensing.redox.sensitive.transcription.factor",NA,"PC5","positive",NA,NA,NA,0.0933533651464215
"Resource.Acquisition.Substrate.uptake.N.compound.transport.ammonium.transport",NA,"PC5","positive",NA,NA,NA,0.0802680821713607
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC5","negative",NA,NA,NA,-0.284590730337402
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC5","negative",NA,NA,NA,-0.284590730337402
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC5","negative",NA,NA,NA,-0.284590730337402
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.chaperone",NA,"PC5","negative",NA,NA,NA,-0.260426472966974
"Stress.Tolerance.Specific.temperature.high.heat.induced.transcriptional.regulation.heat.induced.transcription.factor",NA,"PC5","negative",NA,NA,NA,-0.156054876166789
"Stress.Tolerance.Specific.oxygen.limitation.oxygen.sensing.oxygen.sensing.two.component.systems",NA,"PC5","negative",NA,NA,NA,-0.152258756685229
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation",NA,"PC5","negative",NA,NA,NA,-0.135044116295257
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.C.transport",NA,"PC5","negative",NA,NA,NA,-0.128450834122093
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",NA,"PC5","negative",NA,NA,NA,-0.112793198985637
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",NA,"PC5","negative",NA,NA,NA,-0.107075870890735
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",NA,"PC5","negative",NA,NA,NA,-0.0969073583934334
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",NA,"PC5","negative",NA,NA,NA,-0.0969073583934333
"Stress.Tolerance.Specific.pH.stress.membrane.stabilization.cyclopropane.fatty.acid..CFA..synthase",NA,"PC5","negative",NA,NA,NA,-0.0905927274234456
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.stabilization",NA,"PC5","negative",NA,NA,NA,-0.0842063357032007
"Resource.Acquisition.Substrate.uptake.ion.transport.inorganic.ion.transport",NA,"PC5","negative",NA,NA,NA,-0.0827995520230719
