"trait","PC1","PC","direction","PC2","PC3","PC4","PC5"
"Stress.Tolerance.General.biofilm.formation.EPS.biosynthesis.export",NA,"PC2","negative",-0.263394281658936,NA,NA,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.enhancement.of.microenvironment.EPS.biosynthesis.export",NA,"PC2","negative",-0.263394281658936,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.lipid.transport",NA,"PC2","negative",-0.243943510111094,NA,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC2","negative",-0.200993261964596,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC2","negative",-0.200993261964596,NA,NA,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC2","negative",-0.200993261964596,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrogen.transport",NA,"PC2","negative",-0.164245808697233,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",NA,"PC2","negative",-0.155167414167832,NA,NA,NA
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.stabilization",NA,"PC2","negative",-0.126868589232378,NA,NA,NA
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.RNA.degradation",NA,"PC2","negative",-0.123841359563875,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrite.transport",NA,"PC2","negative",-0.107645994453535,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation",NA,"PC2","negative",-0.0956466518623712,NA,NA,NA
"Stress.Tolerance.Specific.pH.stress.membrane.stabilization.cyclopropane.fatty.acid..CFA..synthase",NA,"PC2","negative",-0.0897868112618882,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.organophosphorus.compound.transport",NA,"PC2","negative",-0.0849712582976892,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.chitin.breakdown",NA,"PC3","positive",NA,0.270889533457883,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown",NA,"PC3","positive",NA,0.264644077491825,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC3","positive",NA,0.253289714730781,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC3","positive",NA,0.253289714730781,NA,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC3","positive",NA,0.253289714730781,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",NA,"PC3","positive",NA,0.25053816088873,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",NA,"PC3","positive",NA,0.234161193257447,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC3","positive",NA,0.214797157634186,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",NA,"PC3","positive",NA,0.188696841311361,NA,NA
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.stabilization",NA,"PC3","positive",NA,0.173588635579384,NA,NA
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation",NA,"PC3","positive",NA,0.163274148410161,NA,NA
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.chaperone",NA,"PC3","positive",NA,0.130922426220768,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",NA,"PC3","positive",NA,0.117015064563722,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",NA,"PC3","positive",NA,0.117015064563722,NA,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.enhancement.of.microenvironment.EPS.biosynthesis.export",NA,"PC3","positive",NA,0.098509465065126,NA,NA
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.urease.system",NA,"PC3","negative",NA,-0.243810509872,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",NA,"PC3","negative",NA,-0.197630563296322,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrite.transport",NA,"PC3","negative",NA,-0.173658168546905,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.urea.transport",NA,"PC3","negative",NA,-0.127957649714698,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrogen.transport",NA,"PC3","negative",NA,-0.125664878679566,NA,NA
"Stress.Tolerance.Specific.pH.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC3","negative",NA,-0.11720733346623,NA,NA
"Stress.Tolerance.Specific.oxidative.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC3","negative",NA,-0.11720733346623,NA,NA
"Stress.Tolerance.Specific.oxygen.limitation.redox.sensing.redox.sensing.two.component.systems",NA,"PC3","negative",NA,-0.11720733346623,NA,NA
"Resource.Acquisition.Substrate.uptake.carboxylate.transport.tricarboxylate.transport",NA,"PC3","negative",NA,-0.111319692458491,NA,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.periplasmic.acid.resistance.protein",NA,"PC3","negative",NA,-0.108840425179334,NA,NA
"Stress.Tolerance.Specific.pH.stress.redox.sensing.redox.sensitive.transcription.factor",NA,"PC3","negative",NA,-0.0916062302782466,NA,NA
"Resource.Acquisition.Substrate.uptake.ion.transport.inorganic.ion.transport",NA,"PC3","negative",NA,-0.0874589072962215,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.ammonium.transport",NA,"PC3","negative",NA,-0.0828657864268875,NA,NA
"Resource.Acquisition.Substrate.uptake.ion.transport.metal.ion.transport",NA,"PC3","negative",NA,-0.0695546710628618,NA,NA
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.B.transport",NA,"PC3","negative",NA,-0.0523655838502169,NA,NA
"Resource.Acquisition.Substrate.uptake.biopolymer.transport",NA,"PC4","positive",NA,NA,0.180528635152012,NA
"Stress.Tolerance.Specific.envelope.stress.misfolded.protein.secretion.stress.sensing.misfolded.proteins.secretion.stress.two.component.systems",NA,"PC4","positive",NA,NA,0.164629443358054,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.ribonucleoside.transport",NA,"PC4","positive",NA,NA,0.163795318048437,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC4","positive",NA,NA,0.151025747737077,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.phosphate.transport",NA,"PC4","positive",NA,NA,0.147508099437139,NA
"Resource.Acquisition.Substrate.uptake.lipid.transport",NA,"PC4","positive",NA,NA,0.131350281503357,NA
"Resource.Acquisition.Substrate.uptake.peptide.transport",NA,"PC4","positive",NA,NA,0.121543106505619,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.acid.transport",NA,"PC4","positive",NA,NA,0.112052808496791,NA
"Stress.Tolerance.General.biofilm.formation.EPS.biosynthesis.export",NA,"PC4","positive",NA,NA,0.108725568464776,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.enhancement.of.microenvironment.EPS.biosynthesis.export",NA,"PC4","positive",NA,NA,0.108725568464776,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleoside.transport",NA,"PC4","positive",NA,NA,0.103304307954036,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.osmotic.sensing.two.component.systems..osmotic.sensors.salt.potassium.sensors",NA,"PC4","positive",NA,NA,0.102654258997793,NA
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.decarboxylase.and.antiporter.systems",NA,"PC4","positive",NA,NA,0.0979570795872859,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",NA,"PC4","positive",NA,NA,0.0709937705626425,NA
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.C.transport",NA,"PC4","positive",NA,NA,0.0697646341724905,NA
"Stress.Tolerance.Specific.temperature.high.heat.induced.transcriptional.regulation.heat.induced.transcription.factor",NA,"PC4","negative",NA,NA,-0.324331429420761,NA
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.chaperone",NA,"PC4","negative",NA,NA,-0.248673033420038,NA
"Stress.Tolerance.Specific.pH.stress.membrane.stabilization.cyclopropane.fatty.acid..CFA..synthase",NA,"PC4","negative",NA,NA,-0.229155107930185,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC4","negative",NA,NA,-0.218764506849449,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC4","negative",NA,NA,-0.218764506849449,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC4","negative",NA,NA,-0.218764506849449,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.accumulation.of.compatible.solutes.synthesis.of.compatible.solutes",NA,"PC4","negative",NA,NA,-0.214550716959663,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport",NA,"PC4","negative",NA,NA,-0.196497385148543,NA
"Resource.Acquisition.Substrate.uptake.ion.transport.inorganic.ion.transport",NA,"PC4","negative",NA,NA,-0.168795408563647,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.trisaccharide.transport",NA,"PC4","negative",NA,NA,-0.159307821832116,NA
"Stress.Tolerance.Specific.pH.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC4","negative",NA,NA,-0.153397384691729,NA
"Stress.Tolerance.Specific.oxidative.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC4","negative",NA,NA,-0.153397384691729,NA
"Stress.Tolerance.Specific.oxygen.limitation.redox.sensing.redox.sensing.two.component.systems",NA,"PC4","negative",NA,NA,-0.153397384691729,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.polysaccharide.transport",NA,"PC4","negative",NA,NA,-0.143916500611347,NA
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation",NA,"PC4","negative",NA,NA,-0.138832927350971,NA
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.decarboxylase.and.antiporter.systems",NA,"PC5","positive",NA,NA,NA,0.168518799907609
"Stress.Tolerance.Specific.oxygen.limitation.oxygen.sensing.oxygen.sensing.two.component.systems",NA,"PC5","positive",NA,NA,NA,0.155855658033702
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation",NA,"PC5","positive",NA,NA,NA,0.14133812285676
"Stress.Tolerance.Specific.envelope.stress.misfolded.protein.secretion.stress.sensing.misfolded.proteins.secretion.stress.two.component.systems",NA,"PC5","positive",NA,NA,NA,0.124385371774581
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.C.transport",NA,"PC5","positive",NA,NA,NA,0.11371175074619
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC5","positive",NA,NA,NA,0.111874502660147
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC5","positive",NA,NA,NA,0.111874502660147
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC5","positive",NA,NA,NA,0.111874502660147
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleoside.transport",NA,"PC5","positive",NA,NA,NA,0.110627156902981
"Resource.Acquisition.Substrate.uptake.free.amino.acids.transport",NA,"PC5","positive",NA,NA,NA,0.110073267644837
"Stress.Tolerance.Specific.envelope.stress.phage.resistance.phage.shock.system",NA,"PC5","positive",NA,NA,NA,0.10766328242595
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",NA,"PC5","positive",NA,NA,NA,0.104867856403295
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",NA,"PC5","positive",NA,NA,NA,0.103180765510437
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.B.transport",NA,"PC5","positive",NA,NA,NA,0.102363189653287
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.chaperone",NA,"PC5","positive",NA,NA,NA,0.0701237037438846
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",NA,"PC5","negative",NA,NA,NA,-0.333849323245744
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown",NA,"PC5","negative",NA,NA,NA,-0.323574881576558
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",NA,"PC5","negative",NA,NA,NA,-0.297019666276021
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",NA,"PC5","negative",NA,NA,NA,-0.294972816286937
"Stress.Tolerance.Specific.pH.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC5","negative",NA,NA,NA,-0.222916255670213
"Stress.Tolerance.Specific.oxidative.stress.redox.sensing.redox.sensing.two.component.systems",NA,"PC5","negative",NA,NA,NA,-0.222916255670213
"Stress.Tolerance.Specific.oxygen.limitation.redox.sensing.redox.sensing.two.component.systems",NA,"PC5","negative",NA,NA,NA,-0.222916255670213
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC5","negative",NA,NA,NA,-0.162123176186216
"Stress.Tolerance.General.scavenging.of.reactive.oxygen.species.ROS.scavenging.enzymes",NA,"PC5","negative",NA,NA,NA,-0.148988166729355
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",NA,"PC5","negative",NA,NA,NA,-0.140225818776675
"Resource.Acquisition.Substrate.uptake.N.compound.transport.ammonium.transport",NA,"PC5","negative",NA,NA,NA,-0.138978951521525
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.urease.system",NA,"PC5","negative",NA,NA,NA,-0.122410009175774
"Stress.Tolerance.Specific.oxidative.stress.scavenging.of.reactive.oxygen.species.ROS.scavenging.enzymes",NA,"PC5","negative",NA,NA,NA,-0.121196489162624
"Stress.Tolerance.Specific.pH.stress.membrane.stabilization.cyclopropane.fatty.acid..CFA..synthase",NA,"PC5","negative",NA,NA,NA,-0.117378571584159
"Resource.Acquisition.Substrate.uptake.S.compound.transport",NA,"PC5","negative",NA,NA,NA,-0.114346603269906
