seqname	length	gc
211000022280117	1040	53.3654
211000022280120	1201	53.0391
211000022280121	1199	38.6989
211000022280123	1105	29.5928
211000022280124	1148	30.1394
211000022280130	1147	43.3304
211000022280133	2161	27.95
211000022280135	2124	38.371
211000022280139	1225	36.7347
211000022280140	1333	35.4839
211000022280141	2584	34.8297
211000022280143	2062	37.0029
211000022280144	2385	43.1447
211000022280150	1102	32.5771
211000022280151	2014	29.6425
211000022280152	1276	29.7022
211000022280153	2198	29.7998
211000022280154	1203	30.6733
211000022280156	3519	41.7732
211000022280159	1533	37.3777
211000022280160	1716	40.3263
211000022280161	1797	28.3806
211000022280162	1340	30.2985
211000022280164	1166	35.8491
211000022280165	1005	36.8159
211000022280168	1042	41.7466
211000022280174	1271	33.753
211000022280176	2129	30.4368
211000022280177	1246	30.4173
211000022280178	1032	34.6899
211000022280179	1229	34.4182
211000022280180	1144	38.1119
211000022280181	1377	41.0312
211000022280183	1177	32.0306
211000022280191	1291	31.1387
211000022280192	2006	31.007
211000022280193	1102	31.3067
211000022280194	1182	44.0778
211000022280195	1961	39.3167
211000022280196	1555	30.418
211000022280198	2612	29.7473
211000022280205	2882	34.3511
211000022280206	1339	31.1426
211000022280208	2368	29.4341
211000022280210	1231	45.4915
211000022280211	3144	29.7074
211000022280212	3025	29.5207
211000022280218	2541	28.4534
211000022280220	1832	54.7489
211000022280221	1520	30.0658
211000022280223	2173	35.5269
211000022280224	1261	32.0381
211000022280225	1178	32.5127
211000022280226	1625	42.2154
211000022280228	2342	39.3681
211000022280230	1220	33.1148
211000022280232	1137	37.3791
211000022280233	4865	47.0915
211000022280235	1471	31.3392
211000022280236	6294	42.326
211000022280237	15068	17.6799
211000022280240	1084	50.0923
211000022280247	1715	34.8688
211000022280255	3299	40.0121
211000022280256	1096	41.5146
211000022280257	1167	35.3899
211000022280259	13935	28.0517
211000022280260	2982	46.7136
211000022280261	3043	37.2001
211000022280262	1274	26.1381
211000022280266	1028	30.8366
211000022280268	1123	31.9679
211000022280269	1962	34.8114
211000022280272	2893	42.7238
211000022280283	4305	43.9954
211000022280289	2375	29.9368
211000022280290	1014	44.9704
211000022280291	1090	28.6239
211000022280292	1560	28.8462
211000022280293	1890	30.0529
211000022280294	2063	30.2957
211000022280295	3348	30.1971
211000022280296	3252	27.1218
211000022280297	1597	30.2442
211000022280298	1738	30.6099
211000022280301	1931	31.4345
211000022280302	2385	31.0692
211000022280303	1225	37.6327
211000022280304	1239	43.4221
211000022280305	3964	41.8517
211000022280308	1223	38.8389
211000022280311	2882	35.635
211000022280312	1116	36.9176
211000022280315	1629	31.6145
211000022280316	2926	44.6685
211000022280318	1227	33.2518
211000022280319	1190	32.437
211000022280320	1802	36.9589
211000022280322	1394	34.9354
211000022280325	1527	32.22
211000022280326	1801	35.3137
211000022280327	1351	44.9297
211000022280331	1110	37.9279
211000022280333	2855	43.6778
211000022280335	3396	36.4841
211000022280336	1406	20.8393
211000022280338	1487	37.5925
211000022280340	2804	37.1255
211000022280341	1371	38.2203
211000022280343	1340	36.3433
211000022280344	1851	38.0875
211000022280345	1197	32.665
211000022280346	1386	39.3939
211000022280347	1870	41.4439
211000022280350	1067	42.0806
211000022280427	564	30.1418
211000022280437	5968	43.4651
211000022280440	3262	36.0822
211000022280443	2575	42.6796
211000022280445	4903	39.5472
211000022280447	6698	36.1451
211000022280448	4006	39.8402
211000022280455	3717	50.0404
211000022280456	3171	41.3434
211000022280457	4471	39.2306
211000022280459	5098	35.7003
211000022280461	4996	38.5508
211000022280463	3638	35.8164
211000022280465	7123	51.2144
211000022280469	2811	51.6542
211000022280471	3755	32.1704
211000022280472	5698	32.643
211000022280474	2927	41.2709
211000022280476	6900	40.2029
211000022280480	3259	48.4198
211000022280485	2529	48.2009
211000022280497	2745	32.1676
211000022280501	2828	39.3211
211000022280511	3085	34.5867
211000022280516	4336	41.1208
211000022280518	6041	34.1831
211000022280519	6193	43.7752
211000022280522	3603	40.3553
211000022280525	3554	38.6044
211000022280535	2583	34.6496
211000022280536	2924	41.8263
211000022280541	14028	21.8135
211000022280544	2919	39.6369
211000022280545	6000	30.0167
211000022280548	2618	30.3285
211000022280553	2561	41.5463
211000022280554	3365	29.7177
211000022280555	3174	30.1512
211000022280556	3386	30.4784
211000022280557	3190	37.2414
211000022280558	4994	33.6404
211000022280561	2417	48.1175
211000022280562	3593	29.6131
211000022280565	3646	35.8749
211000022280566	3389	35.7923
211000022280568	2234	36.9293
211000022280570	3313	20.0121
211000022280588	3223	33.385
211000022280595	3308	45.4051
211000022280598	2511	33.413
211000022280599	2205	29.2517
211000022280605	1936	32.9545
211000022280606	3660	44.6995
211000022280607	4785	36.0502
211000022280610	2876	55.7024
211000022280615	5000	46.16
211000022280617	2112	46.7803
211000022280618	4705	31.8597
211000022280623	3991	35.4297
211000022280631	2119	40.302
211000022280637	5316	45.7299
211000022280640	6546	34.2194
211000022280644	1391	29.4033
211000022280656	5324	37.7536
211000022280671	4310	53.0626
211000022280676	1385	31.3357
211000022280678	1242	45.1691
211000022280679	2421	38.1247
211000022280681	1019	48.2826
211000022280684	3960	42.4747
211000022280685	1099	50.3185
211000022280687	3259	37.2814
211000022280689	1189	26.7452
211000022280691	1213	36.6035
211000022280692	3527	33.6263
211000022280694	1553	46.7482
211000022280696	2577	41.3271
211000022280698	2270	40.3524
211000022280699	6825	29.978
211000022280700	1733	40.4501
211000022280702	1112	35.5216
211000022280703	3906	34.4854
211000022280704	1143	36.4829
211000022280706	1410	27.5887
211000022280707	2708	36.9645
211000022280720	5061	40.6441
211000022280727	5383	34.2746
211000022280734	7003	32.5146
211000022280735	6860	34.3003
211000022280743	4452	42.9245
211000022280747	2378	48.6964
211000022280750	9865	39.5438
211000022280762	4202	31.5088
XY_mapped_Scaffold_7_D1574	50625	36.8099
211000022278161	1250	34.72
211000022278241	1077	26.3695
211000022278242	1226	31.4845
211000022278298	1614	34.6344
211000022278307	1525	30.4918
211000022278309	1110	32.1622
211000022278338	1278	28.3255
211000022278339	1047	36.8672
211000022278408	1301	51.8832
211000022278453	1033	27.1055
211000022278501	1049	28.122
211000022278522	2086	29.1467
211000022278554	2916	34.6022
211000022278603	1105	34.3891
211000022278660	1084	53.5055
211000022278663	1146	33.3333
211000022278664	2451	32.1909
211000022278866	1566	49.4891
211000022278869	2381	46.6191
211000022278874	2094	47.8032
211000022278877	1125	44.8889
211000022278878	1080	44.0741
211000022278881	1060	43.9623
211000022278886	1114	28.9048
211000022278897	1167	44.3016
211000022278920	1127	36.4685
211000022278942	2384	43.9597
211000022278951	1192	26.2584
211000022278975	2793	34.4074
211000022278985	1044	33.8123
211000022279055	1123	43.7222
211000022279101	2217	42.6252
211000022279103	1004	53.6853
211000022279106	1316	46.9605
211000022279122	2383	48.6781
211000022279134	1012	33.498
211000022279190	2575	34.9903
211000022279204	1458	47.9424
211000022279222	1136	35.6514
211000022279271	1040	36.3462
211000022279286	1048	30.2481
211000022279342	1011	41.6419
211000022279399	1114	38.6894
211000022279529	1407	43.9232
211000022279555	1198	30.6344
211000022279571	1962	35.9837
211000022279600	1429	33.5199
211000022279602	2629	35.2225
211000022279667	4222	36.3572
211000022279701	4553	50.1647
211000022279708	1275	44.3137
211000022279810	2381	47.669
211000022279945	3527	46.6119
211000022279965	1101	28.4287
211000022279975	1096	39.5985
211000022279991	1211	35.2601
211000022280091	1260	43.0159
211000022280142	1062	55.5556
211000022280436	2848	39.1152
211000022280467	3129	46.9799
211000022280492	2438	37.6538
211000022280500	2157	32.777
211000022280517	5463	42.5407
211000022280580	2295	42.9194
211000022278099	1625	23.2615
211000022278122	1311	49.6568
211000022278125	1709	30.8953
211000022278165	1713	30.7647
211000022278172	2464	33.3198
211000022278187	1258	43.8792
211000022278208	2956	53.3491
211000022278209	2781	30.5286
211000022278225	2432	29.153
211000022278226	2078	29.2589
211000022278227	1516	29.8153
211000022278228	1793	30.7864
211000022278229	1956	30.6748
211000022278230	1004	30.3785
211000022278231	1195	29.6234
211000022278232	1541	29.8507
211000022278233	1978	29.9292
211000022278235	2999	30.3768
211000022278236	1092	38.7363
211000022278237	1049	31.9352
211000022278249	2259	30.7216
211000022278252	1453	37.0957
211000022278268	1312	29.6494
211000022278277	1869	30.0161
211000022278297	1220	53.1967
211000022278299	2591	29.9112
211000022278314	1737	29.5912
211000022278315	1560	30.5769
211000022278316	2639	30.6177
211000022278317	1970	30.2538
211000022278318	1870	30.4813
211000022278319	1947	29.9435
211000022278320	2113	30.3833
211000022278321	1964	29.7352
211000022278322	1424	29.7051
211000022278323	1575	30.6032
211000022278324	1283	31.021
211000022278325	1843	31.1449
211000022278326	1097	29.7174
211000022278340	1441	29.6322
211000022278341	2286	29.2213
211000022278342	1412	30.5241
211000022278343	2113	30.6673
211000022278346	1899	29.3839
211000022278350	1018	29.3713
211000022278352	1869	32.2097
211000022278353	2114	32.7342
211000022278355	1186	48.5666
211000022278359	2192	29.6989
211000022278360	1121	31.4897
211000022278361	3254	30.7007
211000022278365	1920	32.5
211000022278382	1258	33.2273
211000022278411	1888	31.8856
211000022278414	1461	39.2197
211000022278417	1056	32.6705
211000022278431	2089	29.775
211000022278458	1012	29.9407
211000022278459	1055	29.9526
211000022278460	1944	30.5041
211000022278461	2209	30.2399
211000022278462	1902	29.3375
211000022278463	2841	29.6375
211000022278464	2087	30.9056
211000022278465	1813	29.7849
211000022278466	1195	30.7113
211000022278467	2189	29.5569
211000022278468	1906	30.3778
211000022278469	1678	30.6913
211000022278470	1327	30.1432
211000022278471	1683	30.1842
211000022278472	1643	29.7018
211000022278473	1743	30.0057
211000022278474	1022	30.2348
211000022278475	1818	29.923
211000022278476	1355	29.7417
211000022278477	1159	31.0613
211000022278478	1244	30.4662
211000022278479	1189	30.614
211000022278480	1927	30.1505
211000022278481	1843	28.9202
211000022278482	1998	31.8819
211000022278483	1011	29.9703
211000022278484	1657	29.5112
211000022278485	1130	30.177
211000022278486	1084	30.2583
211000022278487	1295	30.3475
211000022278488	1007	29.0963
211000022278489	2557	29.9179
211000022278490	2113	29.7208
211000022278491	1703	30.828
211000022278492	1315	35.5133
211000022278498	13940	28.8092
211000022278502	1841	33.786
211000022278504	1047	30.086
211000022278505	1240	29.8387
211000022278512	1478	30.6495
211000022278513	2228	30.1167
211000022278516	1133	30.0088
211000022278524	1078	32.0965
211000022278534	1063	36.2183
211000022278544	3206	32.252
211000022278555	2189	30.1508
211000022278557	2293	29.6991
211000022278578	2412	29.4362
211000022278584	1577	29.8034
211000022278596	1036	33.3977
211000022278607	1296	30.1698
211000022278608	2201	29.3503
211000022278609	1355	30.1845
211000022278610	1174	29.3015
211000022278612	2273	29.4325
211000022278613	1785	29.972
211000022278614	1829	31.0005
211000022278615	2637	30.5271
211000022278616	2161	30.4951
211000022278617	1037	29.9904
211000022278618	1452	30.0964
211000022278619	1986	29.5569
211000022278620	1637	29.6274
211000022278621	1704	30.0469
211000022278622	2500	30.04
211000022278623	1082	29.8521
211000022278624	1223	30.2535
211000022278625	1818	29.648
211000022278626	1018	29.5678
211000022278627	1928	30.4461
211000022278628	2196	45.3097
211000022278629	2259	29.8805
211000022278630	2641	30.5945
211000022278631	1241	30.2981
211000022278632	1228	29.5603
211000022278633	1787	30.2182
211000022278634	1786	30.2352
211000022278635	1067	31.5839
211000022278636	1865	30.5094
211000022278637	1221	30.303
211000022278638	1019	30.9127
211000022278639	2269	29.9251
211000022278640	1238	30.6947
211000022278643	1935	30.646
211000022278644	1381	29.8335
211000022278645	2689	30.7549
211000022278646	1408	30.6818
211000022278647	1051	30.1618
211000022278648	2605	30.4415
211000022278649	2335	28.9936
211000022278654	1233	49.635
211000022278655	1550	49.0323
211000022278669	1023	30.1075
211000022278670	1622	30.5179
211000022278671	1546	30.5304
211000022278677	1716	30.2448
211000022278690	1452	30.5785
211000022278691	1252	30.6709
211000022278692	1525	29.8361
211000022278693	1519	30.8756
211000022278694	1891	29.614
211000022278695	2035	29.828
211000022278704	1074	48.5102
211000022278705	1048	52.4809
211000022278715	1040	32.4038
211000022278724	2904	29.7521
211000022278725	1107	30.3523
211000022278726	1645	29.3617
211000022278774	1842	29.6417
211000022278775	2177	30.5007
211000022278810	2307	30.1691
211000022278811	1005	29.6517
211000022278812	1916	29.5407
211000022278813	1075	31.814
211000022278814	1238	29.7254
211000022278815	1895	29.2348
211000022278816	1741	29.2361
211000022278817	2021	30.0841
211000022278818	1037	29.2189
211000022278819	1775	29.4085
211000022278820	1993	29.9548
211000022278821	2823	29.7202
211000022278822	1386	29.6537
211000022278823	2283	30.6176
211000022278824	1038	30.4432
211000022278825	2147	30.2748
211000022278826	1895	31.0818
211000022278827	1482	30.4318
211000022278828	2425	29.8969
211000022278829	1488	30.2419
211000022278830	1323	31.4437
211000022278831	2520	29.4048
211000022278832	1336	29.7904
211000022278833	1091	30.0642
211000022278834	1028	30.7393
211000022278835	1052	28.8023
211000022278836	1380	30.8696
211000022278837	1419	29.6688
211000022278838	1423	29.9368
211000022278839	1630	29.816
211000022278840	2096	30.3912
211000022278841	1055	29.8578
211000022278842	1747	30.0515
211000022278843	1251	30.6954
211000022278844	2363	30.2158
211000022278845	2079	30.4954
211000022278846	2877	30.0313
211000022278850	1544	30.3756
211000022278851	1476	29.878
211000022278852	1062	36.064
211000022278853	2166	30.1477
211000022278854	1856	30.4418
211000022278855	1376	30.7413
211000022278856	1271	30.6845
211000022278857	1558	30.4236
211000022278861	1509	29.9536
211000022278868	2871	49.6691
211000022278876	1813	45.4495
211000022278879	1963	43.0464
211000022278880	1100	47.8182
211000022278882	1238	45.2342
211000022278892	1155	35.3247
211000022278896	3523	54.9815
211000022278905	1829	29.7977
211000022278906	1131	29.8851
211000022278907	1724	31.1485
211000022278908	2389	30.9334
211000022278909	1088	30.7904
211000022278910	1184	30.4054
211000022278911	1843	30.2767
211000022278921	2698	47.7391
211000022278925	1189	52.3129
211000022278933	1129	44.4641
211000022278938	1679	39.1304
211000022278950	1164	29.1237
211000022278971	1238	33.7641
211000022278976	1980	29.8485
211000022279006	1163	31.0404
211000022279008	12848	13.3328
211000022279009	13549	17.2854
211000022279010	1013	53.307
211000022279012	1178	30.0509
211000022279045	1268	46.7666
211000022279062	2505	30.2595
211000022279063	2094	30.086
211000022279064	1637	30.8491
211000022279065	1687	30.8832
211000022279066	1489	30.0873
211000022279067	1093	30.4666
211000022279068	1421	30.753
211000022279071	1253	29.5291
211000022279072	1904	29.7269
211000022279073	1340	29.9254
211000022279074	1492	30.429
211000022279075	1939	30.2218
211000022279076	1573	30.1971
211000022279077	1680	30.4167
211000022279078	1800	29.2778
211000022279079	1326	30.0905
211000022279080	1841	30.0923
211000022279081	3002	30.1466
211000022279082	2822	30.5103
211000022279083	1042	30.1344
211000022279084	2132	30.0657
211000022279085	2287	30.4329
211000022279086	1049	30.7912
211000022279092	2322	29.5004
211000022279093	1792	29.5201
211000022279108	1115	44.2152
211000022279109	3076	51.723
211000022279111	1027	30.0876
211000022279112	1425	30.6667
211000022279113	1015	30.0493
211000022279188	3347	42.934
211000022279227	1098	38.4335
211000022279244	1556	30.6555
211000022279245	1933	29.643
211000022279277	2945	51.8506
211000022279287	2751	30.0981
211000022279290	1185	30.4641
211000022279291	1051	31.0181
211000022279295	1529	30.412
211000022279296	1747	30.1088
211000022279297	1708	30.3279
211000022279298	2765	29.2224
211000022279299	2237	29.7273
211000022279300	1211	29.3972
211000022279301	1830	30.4372
211000022279302	1209	30.6865
211000022279303	1871	30.465
211000022279304	1161	30.3187
211000022279305	2109	29.7771
211000022279306	1063	30.762
211000022279307	2126	30.1035
211000022279315	1031	59.3598
211000022279316	1623	56.1306
211000022279322	1769	52.1198
211000022279327	1057	29.2337
211000022279328	1284	30.4517
211000022279332	2044	29.0117
211000022279339	1184	54.223
211000022279340	2366	54.8605
211000022279388	1309	40.5653
211000022279408	2825	45.4867
211000022279437	1432	31.9134
211000022279438	1046	30.6883
211000022279446	13234	21.2936
211000022279460	3024	38.4259
211000022279467	1078	46.2894
211000022279497	3275	52.3359
211000022279499	3478	54.5428
211000022279501	1175	54.9787
211000022279502	2814	53.1272
211000022279504	2317	54.5533
211000022279505	1178	53.9898
211000022279514	2220	30.991
211000022279515	1510	30
211000022279518	1037	29.4118
211000022279528	1260	45
211000022279530	2372	49.9157
211000022279531	1200	45.8333
211000022279536	1186	55.6492
211000022279537	2420	26.157
211000022279542	1595	30.8464
211000022279543	1135	29.6916
211000022279552	2834	51.6231
211000022279553	2284	55.0788
211000022279563	5832	54.784
211000022279570	1235	54.0891
211000022279601	2068	44.971
211000022279604	1102	40.3811
211000022279605	1086	39.3186
211000022279608	2937	46.7143
211000022279610	1257	53.3811
211000022279673	3926	51.299
211000022279674	1315	51.2548
211000022279676	12187	17.8141
211000022279686	1534	47.3272
211000022279689	2289	30.0131
211000022279690	1145	40.6114
211000022279698	2844	54.7117
211000022279703	2833	55.1006
211000022279704	2355	55.7537
211000022279705	4515	51.6279
211000022279715	2060	29.6117
211000022279720	1008	54.2659
211000022279721	1265	55.415
211000022279730	3553	38.3057
211000022279731	3984	52.3343
211000022279732	2282	53.8124
211000022279764	1269	41.844
211000022279767	1306	54.441
211000022279772	3290	53.4954
211000022279773	1158	55.4404
211000022279774	2318	54.7023
211000022279803	1173	54.0494
211000022279830	1184	55.5743
211000022279832	1100	58.9091
211000022279833	1161	57.9673
211000022279834	2139	52.1272
211000022279836	11522	10.6405
211000022279846	1798	30.2002
211000022279857	1159	56.5142
211000022279859	1109	54.193
211000022279860	1212	54.6205
211000022279861	1053	56.1254
211000022279862	1208	51.9868
211000022279881	1153	57.242
211000022279882	1071	56.676
211000022279883	5057	55.092
211000022279888	1402	55.2782
211000022279902	2475	49.2929
211000022279917	2635	55.1423
211000022279944	1310	54.5038
211000022279955	5555	54.2034
211000022279957	1586	57.1879
211000022279967	2413	53.6262
211000022279968	2846	53.8651
211000022279978	1271	37.4508
211000022279984	1301	46.1952
211000022279994	2463	41.0475
211000022279998	1281	55.3474
211000022280007	1294	51.6229
211000022280016	4072	52.0383
211000022280017	1134	52.0282
211000022280019	1084	56.5498
211000022280022	1361	53.3431
211000022280023	1112	59.6223
211000022280029	1556	31.0411
211000022280034	1326	25.8673
211000022280042	13394	28.6098
211000022280060	1803	38.4359
211000022280061	1636	36.3692
211000022280062	2603	37.8794
211000022280077	1181	41.9136
211000022280088	2223	55.9154
211000022280095	2671	54.8858
211000022280125	1058	29.8677
211000022280148	2686	36.2621
211000022280173	1112	30.5755
211000022280241	5387	49.8608
211000022280243	1710	33.9181
211000022280270	13108	24.8169
211000022280330	2247	29.595
211000022280439	3921	29.7883
211000022280442	2210	30.2715
211000022280453	2379	38.5036
211000022280466	5232	39.6789
211000022280470	3582	30.1508
211000022280479	4085	52.7785
211000022280495	3730	47.6944
211000022280507	2357	54.6457
211000022280526	9368	54.494
211000022280529	4013	56.4166
211000022280532	3059	54.5276
211000022280534	2353	43.4764
211000022280537	2819	48.8471
211000022280538	3100	55.9032
211000022280539	4012	56.1815
211000022280542	2996	42.1228
211000022280578	3602	49.6391
211000022280584	2964	29.892
211000022280585	1868	29.5503
211000022280586	2439	29.5203
211000022280587	3123	29.7791
211000022280592	2829	30.152
211000022280593	3913	35.0371
211000022280594	2009	30.7118
211000022280597	3473	54.535
211000022280603	3941	29.7386
211000022280612	1936	29.6488
211000022280620	3603	53.7608
211000022280622	1916	36.2213
211000022280624	4395	54.8578
211000022280625	3745	55.968
211000022280628	1903	50.8671
211000022280629	3775	54.8079
211000022280632	2750	29.7818
211000022280633	2328	29.3814
211000022280639	2910	55.8419
211000022280641	3065	54.6166
211000022280642	2830	36.1484
211000022280645	4879	44.5378
211000022280649	4917	36.4653
211000022280657	1903	30.0578
211000022280668	3498	29.8742
211000022280669	3201	29.9594
211000022278135	1237	43.9774
211000022278142	1186	39.9663
211000022278153	1297	36.4688
211000022278201	1101	37.148
211000022278214	1459	35.2296
211000022278218	3213	39.7448
211000022278278	2688	38.6905
211000022278405	1284	40.1869
211000022278418	1282	40.4056
211000022278436	2815	35.8437
211000022278449	1947	39.9076
211000022278450	1134	44.4444
211000022278495	1001	41.2587
211000022278499	1155	43.2035
211000022278509	2565	35.7115
211000022278510	2473	36.7165
211000022278538	1035	43.0918
211000022278565	1751	41.8047
211000022278577	2303	45.2019
211000022278586	2799	37.7635
211000022278601	3537	39.6381
211000022278682	1049	33.2698
211000022278683	2508	41.9059
211000022278684	5984	38.369
211000022278709	1683	38.3838
211000022278710	1020	41.1765
211000022278722	1303	32.2333
211000022278734	2762	38.1245
211000022278736	1116	37.3656
211000022278743	2521	32.6061
211000022278756	1260	43.254
211000022278760	1144	38.8112
211000022278772	1033	41.3359
211000022278787	1063	43.4619
211000022278791	1268	37.776
211000022278795	3375	44.4444
211000022278798	1224	42.7288
211000022278802	2477	38.5143
211000022278803	1086	37.1087
211000022278872	1485	32.1886
211000022278873	1109	34.1749
211000022278895	3077	43.5164
211000022278935	1222	46.072
211000022278936	1142	48.7741
211000022278939	1029	41.8853
211000022278941	1775	46.0282
211000022278956	1041	38.4246
211000022278959	1126	40.3197
211000022278965	1032	39.7287
211000022278984	2005	37.606
211000022278987	1129	29.0523
211000022278990	1192	38.5906
211000022278995	1152	44.7917
211000022278997	1443	40.7484
211000022279005	1106	42.3146
211000022279007	1073	38.3038
211000022279025	1690	41.3018
211000022279026	1712	40.1869
211000022279030	3502	42.5757
211000022279031	1060	47.6415
211000022279034	1059	35.3163
211000022279046	2642	37.4338
211000022279047	1224	37.5817
211000022279090	1619	35.2069
211000022279104	1890	37.037
211000022279123	1766	37.5425
211000022279137	1064	39.9436
211000022279153	1155	32.5541
211000022279164	1159	31.8378
211000022279165	1118	37.4776
211000022279174	1195	38.3264
211000022279181	1148	38.5017
211000022279186	3102	40.4578
211000022279211	1056	38.2576
211000022279224	3173	38.8906
211000022279235	1010	40.297
211000022279236	1110	43.7838
211000022279261	2522	33.8224
211000022279264	1019	43.3759
211000022279266	1166	45.1115
211000022279268	1961	35.5431
211000022279269	1271	32.7301
211000022279272	1027	33.0088
211000022279279	1393	39.1242
